passenger1,passenger2,Number of flights together
50,72,4
112,139,4
317,340,4
334,375,4
657,682,4
634,687,4
746,791,6
716,793,5
707,761,6
1019,1039,4
1111,1154,4
1044,382,4
1023,315,4
1029,368,5
1240,391,4
1401,1453,4
324,752,4
334,759,5
1569,1587,5
1942,1957,4
1954,1961,5
2160,2189,4
2120,2145,4
2191,2193,4
2328,53,6
2567,2568,5
2904,2909,4
121,165,6
213,222,7
315,364,5
556,563,4
625,660,4
730,746,6
707,752,5
707,727,5
822,862,4
806,811,4
1156,1167,5
1058,316,4
1238,1254,4
1248,358,4
1406,1468,6
1403,1423,7
1026,758,6
1035,721,4
1023,752,6
355,716,4
1853,1865,5
1818,1837,4
1955,1982,4
1903,1997,4
2144,2190,4
2120,2181,4
2111,2187,4
2112,2191,4
2154,2190,4
2231,2245,5
2246,2248,5
2306,2326,4
2426,2475,4
2512,2582,4
2912,2972,7
2901,2963,4
2924,2932,5
2928,2977,6
2958,2964,4
3034,3048,4
3021,3024,4
1625,398,4
3102,3111,6
3285,3295,4
3311,3349,4
232,659,6
3123,601,5
269,604,4
293,650,6
3477,3490,5
3461,3476,4
1228,1569,4
1506,2697,4
3504,3548,4
3161,620,4
3637,3700,5
3475,763,4
3475,746,4
3725,3735,5
3807,3881,4
3914,3924,4
4085,4089,4
4075,4078,4
4032,4071,5
4012,4069,5
263,3182,4
221,3167,4
2527,451,5
1544,3941,4
1024,3932,4
2879,86,4
4222,4260,4
4227,4237,4
4219,4253,4
4210,4283,5
4209,4287,5
3198,3475,4
1056,628,4
289,368,4
2175,716,5
3151,3421,5
274,409,4
2626,999,4
258,3124,4
1332,945,7
1327,903,4
2906,951,5
2969,901,4
1370,901,4
3794,899,4
4406,4487,4
2405,3603,5
126,3654,5
4563,4585,4
2391,3900,4
4071,4361,4
1504,368,4
3814,4548,4
4604,4691,4
2556,3015,5
1034,1900,5
1465,2717,4
1074,2511,4
1248,933,4
139,3643,4
2728,4630,5
2941,4025,5
4053,928,9
1371,4025,8
1818,4013,6
4827,4862,4
4869,4884,5
4917,4919,4
5006,5096,4
2288,53,6
2272,2447,4
2268,3661,5
5319,5370,7
2325,972,4
1347,2951,4
2273,923,4
2977,988,6
2407,3571,4
2910,920,5
1398,2295,4
2498,977,4
3858,5319,6
3698,755,4
456,5332,4
2790,2914,4
5458,5479,7
5410,5496,5
5429,5486,4
5406,5490,4
2775,5356,4
5640,5677,4
2939,5500,5
4009,5432,6
1818,5483,4
2789,5439,5
4011,5429,5
4224,5026,4
3858,5092,4
4245,5092,4
5766,5782,4
5724,5737,4
5760,5773,4
1643,4346,6
1498,4980,4
1884,4957,4
1649,727,4
1545,2998,4
2998,338,4
380,3912,4
5938,5948,4
5930,5980,4
3259,4315,5
3148,5885,6
6022,6099,6
6121,6177,6
6170,6173,5
2869,5982,5
1034,5741,4
1375,5793,4
1078,1371,4
1884,5500,6
5500,6075,6
4482,6056,4
4656,4914,4
1572,6004,4
4632,4903,4
1452,2035,8
6703,6750,5
6814,6839,5
6864,6885,5
6803,6867,4
6825,6830,5
6825,6897,6
6807,6867,4
2403,3184,4
2403,2775,4
4551,4641,4
147,1548,4
1108,1598,4
4656,631,4
3940,5042,4
1662,631,5
6932,6986,4
7014,7025,4
7043,7088,5
7160,7198,4
7246,7291,5
7201,7255,4
2035,2162,5
6116,7077,4
2669,5694,4
3801,6111,5
2378,4226,5
2272,5841,6
2734,5964,6
7706,7746,4
7725,7767,5
4481,5964,5
1619,5964,5
5744,5993,5
2909,7331,4
1595,7273,4
7174,7533,4
1315,2412,4
8024,8078,4
8116,8174,4
8136,8192,4
8374,8398,4
7342,8307,4
8470,8485,4
8429,8461,4
3565,43,4
8544,8545,4
1700,4613,4
3300,5648,4
2162,7180,4
4344,6585,4
3759,803,6
7884,8373,4
5819,6242,7
6951,7476,4
6940,7418,5
5775,7495,4
324,6049,4
324,4674,4
1817,4942,4
6001,6847,4
438,6077,4
477,6825,5
2717,5788,4
6077,6829,4
3576,6809,5
5744,6884,4
3120,6889,5
2294,4481,4
6047,6827,4
451,4627,5
4435,6740,4
6740,910,4
5800,6950,4
5059,6979,4
1025,1624,4
281,4854,5
8627,8631,4
7770,8216,4
3573,7350,4
2430,2699,5
1432,3292,4
8901,8908,4
8948,8965,4
8961,8979,5
3820,4502,4
2601,809,4
1747,711,4
2928,3963,4
4054,4593,4
625,8209,6
2926,7685,5
5482,7820,6
1833,4981,5
4726,5812,5
551,7694,4
5700,6345,4
3275,4719,6
5522,6892,5
8375,8544,4
7860,8906,5
4135,8146,5
3300,7810,5
3216,7532,4
9271,9282,4
3477,6876,5
4339,6867,4
1053,5819,4
4200,6259,4
7505,9030,5
9327,9391,4
3154,7163,4
3924,7551,5
9418,9443,4
9451,9474,4
9501,9512,4
2392,6259,4
6946,7612,6
9751,9790,4
2433,9513,4
2482,7890,4
8228,9258,4
8420,9159,4
9801,9862,4
4404,8888,4
3078,8895,4
6584,8742,5
73,8788,4
10017,10057,4
10022,10024,7
10042,10080,4
2541,7162,4
1209,2719,5
7636,8121,4
3286,7243,7
6418,7605,4
5584,8093,4
1677,8068,5
9313,9989,4
5383,6776,4
