passenger1,passenger2,Number of flights together
381,382,6
687,699,4
729,737,6
704,792,7
706,781,5
706,773,5
758,799,5
768,791,7
740,760,9
822,836,4
957,989,5
1021,1026,6
1044,385,4
1013,378,4
1001,385,4
1021,313,5
1045,334,4
354,755,4
360,751,4
1977,1981,6
1970,1975,4
1922,1989,4
1928,2000,4
2182,2189,4
2110,2141,4
2318,2381,4
2414,2446,4
2454,2488,6
305,366,5
534,569,4
534,545,4
628,655,6
726,772,5
716,740,9
724,793,5
750,792,5
868,894,4
1025,1029,5
1056,1072,5
1053,1073,5
1053,1056,8
1002,1056,5
1044,305,6
1058,312,4
1072,330,4
1053,385,4
1205,1273,5
1260,1263,5
1447,1453,5
1095,701,10
1072,774,4
1503,1576,7
1506,1551,4
1807,1855,4
1922,1974,4
1957,1976,4
1913,1933,4
2122,2137,4
2119,2134,4
2114,2137,4
2138,2184,5
2220,2234,5
2225,2282,4
2244,2299,5
2229,2252,6
2402,2480,4
2403,2482,4
2429,2447,4
2434,2440,4
2409,2472,4
2514,2539,4
2706,2708,5
2725,2750,4
2728,2773,7
3025,3078,5
1240,1652,5
3155,3198,4
3107,3178,5
3174,3193,4
3112,3123,4
3159,3198,6
3147,3179,4
266,3123,5
299,3123,6
271,3149,6
271,638,4
234,3107,4
3412,3468,4
3410,3475,5
3471,3476,4
3414,3461,5
3521,3583,4
3504,3582,4
3509,3510,5
3565,3598,5
3545,3550,4
3536,3567,4
228,3164,4
2190,685,4
3609,3672,5
1863,2718,4
3477,716,6
3733,3755,4
3906,3941,4
3914,3962,4
4028,4073,4
4011,4080,9
4002,4044,4
4058,4070,4
2199,286,4
3159,603,4
2152,3122,4
218,609,4
4115,4136,4
2563,650,4
2576,610,4
255,2563,4
441,625,8
1268,2589,5
2628,340,4
1569,3901,4
2299,3548,4
4219,4274,4
4212,4295,6
4205,4264,5
1056,641,4
1056,218,5
3193,3491,5
3154,3446,4
1673,266,5
1563,2964,5
2993,997,8
2906,901,11
1337,913,4
1323,993,6
1247,293,4
1243,2699,4
2267,3573,4
2273,3554,5
2236,3589,5
2264,3568,5
4404,4440,6
3655,53,5
2334,2467,4
141,2427,4
2441,3624,4
2072,2429,5
2335,2405,4
4511,4559,5
4052,4373,7
1685,2557,4
3865,4546,6
4605,4639,4
4612,4631,4
4628,4640,5
1208,2886,9
1074,2783,4
2717,2939,8
2754,979,5
2754,2912,4
1367,1444,5
1378,312,4
1971,4319,5
3204,3309,4
2026,3612,4
2446,3615,4
2728,446,4
4016,930,6
1484,4395,7
4080,930,5
1666,4364,7
1367,4090,4
2783,4364,7
2939,4013,5
4839,4879,4
4933,4946,5
4980,4991,5
2245,4451,4
1447,2550,10
5180,5196,4
2404,3539,4
2072,3568,4
2075,2281,4
2458,3578,4
2467,3547,4
2221,2437,4
2963,946,4
2295,2963,4
1343,3537,4
2993,86,4
5435,5459,4
5408,5429,4
5467,5491,4
5481,5486,6
5459,5483,5
1819,4647,4
4641,5084,4
2634,2963,4
5443,928,5
5402,915,4
4016,5420,4
2789,5458,5
2433,5671,4
1499,2992,5
5716,5767,7
5705,5775,4
1254,4322,4
1028,876,6
1498,4927,5
4609,4950,4
3950,4497,6
2651,290,4
1649,3944,4
5948,5991,5
6054,6070,5
6042,6090,4
6001,6071,7
6013,6090,4
323,4767,4
1938,5232,5
1938,4717,4
1865,5500,6
5486,6060,4
1078,6097,4
5481,6047,6
3937,5455,5
1046,4069,4
443,4523,4
1662,3940,4
3492,5434,5
4542,6004,4
1444,4656,4
4967,5420,4
1572,6092,5
2596,3572,5
6874,6878,5
6874,6898,6
6847,6897,5
6807,6876,4
6878,6896,7
1651,4212,4
1538,4212,4
6908,6983,4
6938,6979,4
6981,6983,4
7017,7051,4
7549,7594,5
2239,4166,4
5572,6774,4
7636,7640,5
7616,7634,4
3312,3990,4
2408,2672,4
3971,675,4
1612,4849,4
2620,5116,4
5788,950,5
477,5977,5
3493,7307,4
393,7551,5
3611,4274,6
3655,4522,4
1280,405,4
3645,4811,6
8148,8151,5
4399,5711,4
7331,8326,4
1828,4430,4
683,7563,4
392,4590,4
393,7709,4
2786,7603,4
202,7613,5
3279,898,4
3758,3962,4
1025,2546,4
1914,826,4
3463,7581,4
3442,5073,4
3102,7484,5
5443,6817,5
5443,6848,4
5977,6824,4
477,6854,5
6075,6827,4
184,6049,4
184,6880,4
2294,6864,5
2294,6847,4
5720,6832,4
1865,5706,4
5491,5771,4
6047,6836,5
4412,6848,4
1884,5761,4
431,7558,4
6737,8025,5
5743,6060,6
1208,6084,4
3414,469,4
2279,7900,4
4294,7363,4
8614,8685,5
1208,8297,4
5789,7820,7
4798,7770,5
4955,7539,4
8759,8798,4
4497,7618,4
8920,8969,6
8949,8959,4
4270,4555,4
2250,8189,4
4541,7665,4
1719,8084,6
3124,4126,4
3093,5411,5
2290,3331,4
2290,2702,4
4795,551,4
1531,3255,5
1730,3637,5
1730,4717,4
5612,6365,4
6166,8250,4
2269,7718,6
7341,7718,4
9026,9097,8
9055,9086,4
9030,9042,4
529,7640,6
4483,4711,4
2967,6892,4
