passenger1,passenger2,Number of flights together
286,292,9
242,274,4
229,283,4
354,374,6
528,574,4
515,522,4
510,536,4
659,677,7
746,752,8
721,727,7
712,724,5
739,799,5
884,899,4
1021,1035,6
1145,1163,6
1095,355,5
1007,378,4
1226,1236,4
1734,1790,5
1961,1971,4
1956,1987,5
1916,1988,4
2120,2189,4
2135,2169,4
2111,2168,4
2214,2270,4
2419,2481,4
2469,2492,4
2465,2476,4
2378,28,4
64,86,4
231,264,7
375,384,5
312,387,5
716,739,8
721,746,5
734,755,5
701,762,6
874,878,4
843,845,4
916,937,4
915,933,5
1051,341,5
1242,1272,4
1205,1248,4
1232,1264,4
1223,1230,4
1322,1370,7
1328,1375,5
1367,1391,6
1298,331,7
366,740,6
1816,1828,4
1865,1867,4
1818,1844,5
1928,1975,4
1945,1991,4
1915,1998,4
1917,1967,4
1923,1993,6
1902,1920,4
2122,2130,4
2148,2188,4
2116,2134,4
2107,2189,4
2256,2265,4
2246,2299,6
2370,2392,4
2409,2415,4
2521,2531,5
2608,2674,5
2667,2699,8
2665,2691,4
2713,2766,4
3117,3169,4
3159,3188,5
3315,3399,4
3311,3317,4
210,677,4
3104,684,6
299,684,6
205,3180,7
264,682,4
3405,3477,5
3439,3483,4
1287,2674,4
3540,3563,5
3567,3577,4
2158,3118,4
3631,3679,4
3601,3631,4
3661,3663,5
1023,3475,4
3742,3787,4
3933,3941,5
4053,4059,7
1197,584,5
4121,4142,4
1300,255,4
2546,468,4
1208,477,5
3120,438,6
1220,493,5
1542,3914,4
2298,3548,4
4267,4289,4
4205,4212,8
4207,4252,4
4203,4233,5
4376,4394,5
4318,4359,4
4309,4380,4
4350,4370,4
4346,4353,4
1221,991,5
278,633,4
1320,911,4
2667,3104,5
4057,4398,5
4491,4496,4
4435,4459,4
4531,4534,4
4032,4377,6
4607,4690,7
4601,4679,4
2786,3041,5
1464,2758,4
2457,3634,4
2761,4661,4
1464,4083,7
2511,4053,9
4925,4944,4
5093,5096,5
5027,5095,4
5127,5133,6
3255,3331,4
5330,5376,4
2236,946,4
2263,912,5
1384,3679,4
2963,3540,4
4575,5314,4
3818,5325,4
3486,852,4
5416,5466,4
5463,5481,4
5423,5466,4
5423,5447,5
5429,5458,6
5432,5463,5
5409,5446,5
5402,5419,4
1436,5303,5
1617,3404,6
5565,5593,4
5651,5656,4
4373,5420,4
4012,5471,5
4364,5421,5
2320,5143,5
3642,5694,4
2422,5671,4
2911,744,4
1775,2960,5
4200,5019,4
4522,5092,4
3858,4219,4
229,4223,4
4217,5319,4
5718,5773,6
5782,5795,5
5720,5799,4
3861,4346,5
4665,4947,5
2275,4462,6
1782,3214,4
2998,3493,4
1595,3266,5
2651,3999,4
5933,5957,4
2182,3330,5
6002,6066,4
6127,6141,4
6255,6289,4
1816,2568,4
2869,5946,5
5727,5927,4
2746,687,4
4969,6001,6
2773,6017,6
3576,6047,7
5404,6082,4
6408,6469,6
6441,6447,7
2560,5450,5
391,3998,5
1598,4069,4
2544,3572,4
1662,6004,4
2509,5434,4
4988,5460,4
1572,3861,5
4430,5420,4
6540,6598,4
6808,6813,4
6866,6869,5
6825,6866,5
6824,6870,5
6817,6898,6
1548,5356,4
1819,4945,4
3385,4069,4
3208,4295,4
5623,6591,5
7015,7080,4
7324,7361,4
7318,7389,4
7439,7484,4
7436,7471,4
7421,7454,4
7421,7442,4
3889,4828,4
135,4827,6
7813,7896,6
2987,4087,4
2182,5092,4
8123,8200,4
8214,8275,4
5590,7558,4
3937,5435,4
3713,3902,4
4872,7511,5
3511,7886,5
8581,8599,4
8519,8577,4
247,6418,4
4651,680,4
1769,2516,6
4150,5905,5
614,7677,5
6565,8270,5
4919,5303,5
5303,6974,4
324,6832,4
5993,6858,4
1619,6880,4
4373,6016,4
5724,6830,4
6001,6844,4
5440,950,5
5966,6878,6
5966,6017,4
2294,959,4
4990,6833,4
2773,6853,4
1865,6814,4
4942,6824,4
4481,6827,4
4969,6839,4
1884,6889,4
4435,6725,4
4876,7581,4
739,873,5
364,459,4
335,6921,4
7342,735,4
6801,8238,5
6813,7820,7
3093,7832,4
4805,803,5
606,7606,5
8969,8983,7
8948,8970,4
8934,8965,4
8904,8970,4
281,7597,4
7716,8904,5
7812,8910,4
3124,8078,5
2776,7770,6
4158,8690,4
1160,1831,5
2032,3255,4
1173,2702,5
511,5812,4
1128,546,4
1933,5289,4
5275,8382,4
9057,9069,7
9069,9098,10
1956,7636,4
7508,8280,4
1158,1337,5
8211,8314,4
4862,756,6
756,8280,4
393,8232,4
1544,3440,6
2392,8604,4
3405,8017,4
2589,3336,4
5505,6750,4
3418,5789,7
3418,6750,4
1208,6707,5
5490,8073,4
5795,6418,4
4700,6294,4
7001,8105,5
4171,7909,4
1849,9014,7
9374,9382,4
9370,9380,4
9326,9400,4
9332,9367,4
9413,9449,4
9418,9482,4
5757,6441,4
6205,815,4
1376,6932,4
9624,9664,5
9659,9676,4
9640,9696,4
9745,9749,4
9750,9764,4
6061,905,4
5543,6202,4
9822,9859,6
8006,8509,4
9968,9997,5
10042,10048,4
4359,9988,4
3766,5497,5
5946,8933,5
2488,4034,4
4319,8961,4
5383,9610,4
5383,9642,4
7131,9642,4
622,9679,4
388,9602,4
3844,9634,5
3844,9679,5
6857,8983,5
2012,3187,6
2841,8793,4
1637,182,4
1637,2841,6
1637,2012,7
182,2090,4
2516,821,4
5623,637,4
3448,8510,4
7718,8510,5
8884,9626,4
4541,8105,4
5501,855,4
3447,6765,5
5503,9066,7
6474,8197,4
8533,8845,4
8044,8566,4
10110,9418,4
7526,9362,4
