passenger1,passenger2,Number of flights together
230,271,9
274,299,7
401,430,5
515,550,4
703,709,5
716,781,5
905,993,7
1001,305,4
368,768,4
1884,1891,4
1946,1971,6
2283,2286,5
2405,2458,6
212,255,5
234,280,4
354,362,6
315,355,5
533,581,4
615,625,4
726,774,5
712,743,5
755,773,7
718,756,4
810,851,6
1020,1097,4
1045,1053,5
1018,1058,4
1156,1163,4
1043,376,5
1336,1342,4
1424,1472,4
1044,707,5
328,771,4
1542,1576,5
1506,1581,5
1635,1652,4
1606,1626,4
2176,2196,5
2142,2165,4
2120,2154,4
2124,2160,4
2158,2182,4
2162,2168,4
2109,2144,4
2116,2130,4
2241,2288,4
2246,2278,5
2412,2425,5
2509,2544,5
2674,2681,5
2924,2951,4
2908,2957,4
3119,3153,4
3102,3171,4
3286,3295,4
3178,693,4
212,3157,4
3421,3477,9
1228,2697,4
3518,3561,4
3119,694,5
2148,217,4
3635,3654,6
3624,3639,5
3921,3967,4
3952,3957,4
4075,4090,4
4019,4020,6
4012,4059,8
4011,4044,11
4011,4042,7
4164,4171,4
1666,437,5
1248,613,4
1699,3149,4
2537,467,4
1238,1525,4
1635,3093,7
4211,4289,4
4285,4292,6
4217,4271,4
4217,4293,4
4217,4223,7
1243,255,4
4358,4386,4
1211,968,6
1394,994,4
1337,915,7
1323,913,4
2221,3571,7
4449,4474,4
4444,4478,4
4468,4497,6
2441,3603,5
2062,2404,5
2484,28,5
4564,4584,4
4643,4661,4
4614,4628,5
4614,4671,5
1900,2400,4
1082,962,4
2867,2939,9
1314,2758,4
1813,2972,4
2743,2992,4
2509,4656,9
240,3032,5
139,3637,4
2457,3677,7
4856,4876,5
3173,4441,7
5161,5178,4
2410,3507,5
5311,5312,6
2293,3620,4
2467,2977,4
1384,2963,4
2928,988,5
199,2913,4
385,5156,4
5446,5477,6
5439,5481,4
5435,5481,4
5435,5477,4
5408,5496,5
5421,5495,7
5443,5483,4
5429,5436,6
5432,5456,4
5404,5408,4
4647,5009,4
5584,5590,4
4377,910,4
2754,4329,6
5668,5676,6
5651,5699,4
2939,5414,5
4017,5420,4
4339,5412,5
4316,5498,5
4395,5500,5
4052,5467,4
3153,3737,4
1333,3046,4
1798,945,4
2277,5001,4
229,4219,4
5734,5777,4
5792,5797,6
5743,5767,6
5708,5725,5
5733,5799,5
5795,5796,4
5715,5763,4
5813,5852,4
1377,2949,4
1872,3396,7
2596,5450,5
