passenger1,passenger2,Number of flights together
264,271,9
309,334,5
714,722,4
729,734,5
772,793,5
701,712,5
831,889,6
920,941,5
1011,1039,4
1095,392,5
1029,385,4
1250,1292,4
1321,1358,5
392,760,4
355,762,4
2131,2163,4
2135,2136,4
2178,2199,6
2318,2363,4
2465,2470,4
141,2335,5
272,289,5
272,286,5
378,395,5
421,465,5
628,679,4
709,747,5
755,761,6
811,876,4
837,859,4
935,980,5
1149,1157,4
1056,313,4
1007,362,4
1029,376,4
1001,362,5
1240,1263,8
395,763,4
1023,730,4
1602,1625,4
1714,1740,4
1904,1988,5
1986,1992,6
1920,1990,4
1906,1968,4
2111,2190,5
2109,2136,4
2122,2145,4
2106,2153,5
2156,2161,4
2141,2179,4
2223,2236,7
2251,2280,6
2262,2282,4
2205,2245,5
2229,2242,5
2406,2429,7
2425,2441,4
2436,2452,4
2423,2446,4
2510,2554,4
2610,2612,5
3120,3184,4
3309,3360,5
3309,3380,6
3101,659,6
3413,3436,7
3428,3495,4
3477,3483,5
3448,3468,4
1014,1506,4
3510,3578,5
3556,3579,4
217,664,4
3615,3634,5
1056,3479,5
1095,3475,4
3815,3831,4
3943,3999,4
3904,3914,5
3916,3955,5
3916,3961,5
3940,3966,4
3912,3985,4
4046,4071,5
4019,4092,4
4059,4078,4
4016,4051,4
3167,609,4
4170,4200,6
4126,4156,4
1561,3955,4
2862,3019,4
2887,391,4
4264,4269,5
2152,3475,4
2106,3493,5
3114,763,5
1243,2570,6
154,493,4
2241,3507,4
4415,4496,4
4417,4460,4
2335,3681,4
4569,4587,5
1662,4593,6
4022,4376,4
3858,4546,5
3814,4544,4
1444,3152,4
1432,2783,4
1818,2789,7
1484,975,9
4734,4753,4
1853,4632,5
4016,915,7
1844,4336,4
2969,4388,8
4011,975,5
4903,4979,4
5008,5053,5
2924,972,4
2437,3547,4
2454,3587,4
3537,3681,4
2928,977,5
309,5156,4
5436,5459,4
5494,5500,10
5416,5468,7
5410,5468,4
5426,5431,6
5409,5496,5
3974,5319,4
5544,5589,4
5566,5590,4
2754,4377,4
4013,5420,4
2969,5500,5
4053,5494,5
4011,5494,4
147,4082,5
1033,1377,5
5026,5370,4
5709,5712,4
5709,5754,4
5726,5742,4
5726,5747,4
5722,5797,4
5735,5781,4
5757,5782,4
5717,5760,4
5742,5759,4
1888,335,4
4396,916,4
2773,3576,7
3392,3742,4
1928,4304,4
1537,2998,4
132,1545,4
2700,624,4
2224,752,4
5938,5961,4
5964,5989,4
5919,5946,5
5908,5968,4
1994,3148,5
4583,5145,4
4767,643,4
2869,5912,4
3015,5912,4
1375,5800,4
4716,5204,4
1126,5278,4
5498,6031,4
2939,4682,5
4609,6092,5
3637,592,6
2100,4150,4
1617,443,4
1586,2544,4
443,6092,5
2544,4430,4
3572,5422,4
2387,4968,5
1617,5356,4
3937,4255,4
4255,5420,5
6956,6981,4
7111,7122,5
7424,7460,4
7650,7663,5
2185,4171,4
5957,932,6
3102,6111,4
2993,4481,5
7827,7853,4
3867,7268,6
2988,7110,5
4297,4391,4
5310,844,4
8024,8084,4
3806,4213,5
3806,7149,5
3173,7692,5
8235,8295,5
1011,1871,4
7713,8350,6
7706,7809,8
1265,680,5
2532,3851,6
1767,4435,4
439,8245,4
1581,2026,4
1320,4744,8
2239,6556,4
3193,885,4
3762,857,4
3762,877,4
2325,829,5
3436,7545,4
2504,2719,5
2612,6023,4
5993,6817,4
5993,6870,4
5964,6858,4
5964,6047,4
6064,6829,4
6077,6869,4
6008,6833,4
6008,6869,4
4316,5769,4
3120,6847,4
6039,6880,4
5481,6827,4
1865,6844,4
4942,6898,4
5734,6071,4
1884,5734,4
1884,6833,4
6773,8402,6
4473,7538,4
3930,6891,5
3024,6812,4
5012,7410,4
3650,7379,5
4157,7318,4
1209,6718,4
1715,5503,8
1677,5482,9
4468,7629,4
2868,5411,4
8964,8974,4
8915,8917,4
8973,8987,5
8912,8927,5
8931,8963,4
8931,8958,4
8936,8948,4
1158,2530,5
3932,7476,4
3741,5546,6
1169,1368,4
7872,8190,7
4798,7601,4
5482,8209,6
3937,8019,5
1183,1246,4
2032,564,4
1811,2642,4
1730,3255,5
4769,592,5
3220,6349,4
9007,9022,4
3440,6940,4
3711,815,4
5478,8223,4
1622,8752,4
1800,4753,4
3093,4249,6
4072,5513,5
5411,6796,4
8284,9053,4
8283,9014,4
5081,7023,5
5847,79,4
5989,8485,5
2939,8093,6
2939,3177,5
2886,8068,7
5596,6020,4
4700,8411,4
432,5518,4
9367,9384,4
2728,3924,5
1335,3734,4
2423,8232,4
9430,9443,4
9501,9511,7
1338,8961,4
5481,6206,4
9602,9630,4
9601,9676,4
9640,9679,5
9705,9723,4
2443,8598,4
212,9258,4
8589,9258,5
8598,9267,4
1598,9238,4
1308,5012,4
8072,9243,4
4827,8545,5
1444,9266,4
7396,9263,4
4490,8888,4
9928,9971,4
2472,5855,4
7246,7590,4
1209,9963,4
6783,9997,5
624,6338,4
1296,863,6
1338,6668,4
1208,8037,5
6052,7605,4
5672,9665,4
4933,9684,4
7131,9690,4
7131,9628,4
4553,6776,4
3626,4555,5
1089,9693,5
1089,5652,5
2191,9675,4
4541,9766,7
148,8260,6
4359,5742,4
1849,8884,4
382,7898,7
191,6857,4
1800,7539,5
8884,9014,4
627,7510,4
7640,8558,4
4274,855,5
1818,9700,4
3536,7568,4
3249,3998,4
10338,10356,4
10334,10352,8
10308,10326,4
8552,8846,4
2937,9223,5
1673,9389,5
1824,9482,4
6447,8363,7
1321,9977,7
