passenger1,passenger2,Number of flights together
248,266,6
362,385,5
659,680,6
758,772,5
796,798,6
814,827,4
1044,1056,5
1072,374,4
1337,1371,11
1001,746,9
324,772,4
1904,1989,4
1930,1975,4
1937,1991,5
2162,2187,4
2210,2256,4
2219,2289,4
2260,2268,7
2322,2356,4
2832,2854,4
246,272,6
304,397,4
338,380,4
525,595,5
606,615,4
610,684,8
611,659,4
727,771,5
709,761,6
719,778,8
760,799,5
705,752,5
848,849,4
822,881,4
837,850,4
939,949,5
911,939,5
1013,309,4
1205,1272,5
1226,1290,4
355,706,5
1033,780,8
1991,1997,4
1962,1991,5
1917,1974,4
1903,1971,6
2126,2144,4
2162,2173,4
2168,2187,4
2122,2141,4
2134,2189,4
2261,2291,5
2236,2279,7
2342,2345,4
2332,2356,4
2401,2498,4
2429,2478,4
2465,2489,5
2563,2586,5
2712,2769,5
2745,2747,5
3127,3175,4
3159,3193,5
275,622,4
275,610,6
3101,605,6
248,611,4
3421,3436,5
1066,1576,4
3588,3589,5
3504,3579,4
3528,3533,4
3685,3690,5
1831,2702,4
3475,772,4
3719,3756,4
3741,3760,6
4013,4090,4
4012,4016,8
4031,4043,4
4010,4087,4
2183,244,4
2186,246,4
1456,1867,4
1403,1890,5
4115,4129,5
4159,4176,4
205,2573,4
1699,3141,5
1576,3974,4
369,3941,5
2233,3532,4
4227,4282,4
4241,4284,5
1056,2123,4
3195,3444,4
628,759,4
272,3483,5
3159,3444,4
2105,3476,5
3411,673,4
4330,4394,4
1332,2972,6
1377,905,6
2531,2674,5
1066,275,4
1066,427,4
3779,811,5
3739,839,6
2295,3571,4
4531,4590,5
4060,4380,5
4040,4384,4
4022,4340,4
4035,4339,5
289,611,5
4695,4700,4
4671,4690,5
4671,4695,4
4628,4674,5
1444,2776,4
1444,2758,5
1248,1444,6
1484,1844,4
1082,2912,5
1351,2802,5
407,930,6
2032,4113,4
1508,4170,4
1211,387,4
2767,4628,4
4017,930,6
1314,4052,6
1371,4052,5
1666,4016,5
1464,4339,7
2573,4401,5
2554,3553,4
1509,409,4
1512,2601,4
5146,5171,4
3357,4058,4
2460,3520,4
2075,3539,4
2951,3603,4
2951,3589,5
1358,2263,5
1330,941,4
2437,3554,6
1313,988,4
1313,977,4
1043,5156,5
5458,5464,4
5410,5438,4
5404,5479,6
5406,5466,4
5402,5416,5
1685,2667,4
2167,3480,4
5530,5593,4
4359,945,4
5630,5647,4
4042,5500,5
4042,5494,5
4080,5438,5
2867,5494,5
4399,5426,6
4011,5479,6
2401,3472,9
3343,3716,4
127,4038,4
2490,5684,4
4224,4522,4
3858,5096,4
4260,5022,5
5719,5780,4
5738,5797,5
3453,675,4
3317,5007,4
1398,3396,4
3861,5450,5
2575,3622,4
4534,4845,4
3492,4632,5
3587,727,4
1219,366,5
2068,3415,4
2647,3919,4
3493,727,6
2320,3493,4
1077,2320,4
226,374,4
5926,5970,4
6079,6090,4
6015,6020,4
1976,5041,4
1976,4211,4
6116,6135,4
3012,3615,5
2446,4473,5
3937,4554,4
4554,4632,4
4914,5422,4
1456,3972,4
1613,5447,4
6889,6898,6
6864,6896,6
1651,4082,9
391,5053,4
5042,5434,4
7356,7361,4
7442,7454,5
5717,989,4
2196,4109,4
3642,3994,5
5796,64,4
7721,7798,4
2909,4827,5
5711,5949,4
2790,5787,4
2886,5711,4
2993,6469,5
324,5798,5
1774,7110,5
4175,931,4
4384,7508,8
1340,2991,4
1059,344,4
1272,2645,4
8128,8140,4
8202,8280,5
4395,5795,5
8338,8375,5
7778,8326,4
3503,7820,8
8517,8536,4
1244,7540,4
3188,732,4
1640,5341,4
2100,2601,4
1767,2786,4
3928,6159,5
1955,8276,6
2035,2988,4
5497,871,6
2437,937,4
3436,3762,4
2719,7162,5
7793,7821,4
4263,7118,4
1272,6987,4
5769,6829,4
6872,997,4
324,4316,4
4373,6869,5
2294,6870,7
4990,6832,4
2993,6853,4
5788,6839,4
5491,6858,4
4481,6833,4
6294,8402,6
1369,6831,5
3093,6900,4
3777,6951,4
1063,3764,4
4072,6097,5
3024,7833,4
5767,6364,4
8752,8759,4
2201,8137,5
3169,4035,4
3330,7645,5
7645,95,4
3855,7685,4
1432,5442,4
432,4510,5
8958,8993,6
8925,8978,4
8945,8984,4
3784,7563,5
233,3527,4
4156,6036,5
625,7820,6
3950,4072,5
8127,8656,4
7948,8142,4
165,2290,4
3255,592,5
3012,629,4
3357,4726,5
6558,8254,4
1733,7074,4
5620,5873,4
5805,6558,5
3742,6507,4
4711,5984,4
2446,8270,4
1050,276,4
4178,8121,9
3734,8548,4
6703,7820,4
663,901,5
4249,7605,8
5566,8158,4
258,7076,4
9253,9283,4
3477,5596,4
3477,5490,5
5795,8073,5
2886,6294,5
672,936,4
4877,8904,4
3153,4896,5
9376,9386,6
9342,9394,5
9332,9363,4
5007,7291,4
1955,5583,4
7551,8557,6
4719,6968,4
9628,9648,5
4966,9517,4
