passenger1,passenger2,Number of flights together
68,7,4
106,190,4
715,718,4
758,778,6
826,871,4
816,857,4
801,832,4
1475,1490,6
392,709,5
1707,1727,4
1960,1973,5
2171,2194,4
2182,2190,5
2121,2147,4
2288,2291,4
2260,2300,5
2432,2446,5
2472,2474,4
173,2004,5
175,190,4
355,378,5
564,594,5
664,666,5
601,670,4
762,774,5
703,726,6
703,797,5
731,759,5
707,751,5
801,843,4
849,868,4
1055,1085,4
1012,1016,4
1073,374,4
1023,755,6
1533,1555,4
1937,1979,4
1945,1979,4
1975,1984,4
2109,2134,5
2129,2185,4
2107,2109,4
2262,2277,5
2226,2261,4
2239,2254,4
2239,2287,5
2225,2235,4
2205,2242,6
2406,2492,4
2414,2426,4
2411,2479,4
2412,2497,7
177,2042,4
2721,2749,4
2908,2934,4
3005,3011,4
3109,3157,4
3203,3279,4
3303,3339,4
3186,677,4
3442,3472,8
3509,3589,6
3483,716,4
3490,392,4
3436,739,4
1095,3410,6
3929,3994,4
4029,4051,4
4025,4059,7
4011,4051,4
4002,4088,5
4053,4060,4
2199,3195,4
3154,679,4
292,3195,4
263,609,4
2106,3174,6
443,684,4
468,659,4
1645,2567,4
2531,293,4
1034,3120,4
1250,64,5
2894,3046,4
167,58,4
4219,4291,4
4224,4297,6
4277,4294,4
4277,4282,4
244,3475,4
1673,440,6
1298,2573,6
2568,3146,4
4316,4395,9
4308,4370,4
4305,4364,4
4342,4363,4
237,614,6
1542,490,4
2567,3913,7
3709,874,4
3702,868,4
2225,3597,4
2284,3509,4
4401,4484,4
4420,4464,4
4403,4466,4
2467,3635,5
2315,3635,4
187,2462,4
4071,4344,6
4053,4364,6
247,2571,4
4615,4686,4
4661,4672,4
2758,2857,4
1272,2780,5
1818,2867,7
3046,945,4
1484,2969,8
1310,437,4
1314,407,6
1337,1482,6
1085,2127,5
3209,648,4
3343,4400,4
121,2486,4
2390,3604,4
1853,4682,5
1828,4682,5
2717,4316,11
2783,4025,5
1482,4052,6
4903,4950,5
1536,2678,4
5072,5082,4
5075,5086,4
3517,53,4
3512,3662,4
5307,5394,4
2951,3648,4
2221,3681,5
3681,923,4
1321,912,4
141,2273,4
3818,5308,4
5471,5478,4
5416,5490,7
5414,5419,6
5409,5467,5
1598,3404,6
5551,5593,4
5548,5551,4
4395,5416,6
1314,5420,5
1903,5148,5
2437,802,5
4215,5095,4
4248,5048,5
229,4245,4
5746,5769,4
5766,5777,6
5702,5770,4
4552,5422,5
1444,5422,6
2642,4424,5
2251,4431,4
2213,3914,4
1255,2635,5
5928,5930,4
5939,5965,5
5932,5967,4
5948,5996,4
5912,5946,6
5960,5964,4
5908,5940,4
2173,839,5
6061,6093,4
6126,6127,4
6141,6158,4
2486,4955,4
1616,5718,4
5793,5982,4
2939,4700,7
6484,6486,4
1662,3861,5
3492,3998,4
3963,4903,4
3991,4593,4
6528,6548,4
6570,6579,4
2518,3025,4
6855,6897,8
6893,6898,5
6860,6879,7
3295,5084,5
2710,4285,6
4300,5053,4
6962,6972,7
7326,7366,4
7477,7486,5
5526,6711,4
1028,2088,5
7601,7602,5
7653,7674,4
1612,2669,4
1413,2460,4
7718,7796,4
3024,5767,4
1619,5798,5
5779,5979,4
1250,5787,4
1382,2174,4
7950,7983,6
5048,5885,5
8192,8195,4
8230,8290,4
8250,8283,4
8355,8368,4
7768,8363,5
3506,8398,4
1420,4222,4
2932,6410,4
2527,3367,4
1447,2692,4
6568,8236,4
4344,6531,4
2443,7851,5
5706,6874,5
6848,959,4
5443,5798,4
