passenger1,passenger2,Number of flights together
218,289,6
363,366,4
704,743,5
726,752,5
771,798,5
758,766,5
709,797,6
773,786,6
816,821,5
813,839,4
913,915,5
1024,1092,6
1007,1038,9
1095,362,5
1002,354,4
354,771,4
354,733,4
354,797,5
395,709,4
334,792,4
1014,1228,5
1808,1867,4
1810,1828,4
1960,1974,4
1916,1960,4
2165,2169,4
2110,2120,4
2271,2288,4
2317,2370,4
2475,2489,4
2409,2475,4
424,465,4
762,793,5
762,799,5
727,752,9
707,737,5
719,724,5
750,772,5
778,785,5
972,988,6
901,913,5
1111,1180,4
1031,392,5
1045,366,4
1005,1209,6
1505,1554,4
2120,2173,4
2128,2132,4
2114,2188,4
2125,2193,4
2261,2284,5
2231,2238,4
2207,2234,4
2241,2262,4
2418,2419,4
2411,2440,6
2430,2460,4
165,2082,4
165,2026,5
2545,2570,5
2640,2653,4
2752,2769,5
2701,2761,4
2933,2937,4
327,492,4
3122,3167,5
3151,3195,5
3109,3186,4
3401,3423,4
3436,3477,5
3439,3493,4
3402,3410,6
1247,1581,4
2699,314,4
3620,3654,5
3604,3609,5
1023,3444,4
3444,751,4
3709,3794,6
4046,4079,4
272,3154,5
289,3122,4
2197,289,5
281,3122,6
2175,3151,6
1152,1409,4
2570,443,4
1300,205,4
2545,610,4
2600,299,4
1645,2510,4
314,3978,4
2285,3565,6
2244,3529,5
2248,3582,4
1250,167,6
3071,459,4
3155,3447,4
3155,759,4
3411,641,4
231,2801,4
4316,4399,9
4329,4384,5
1391,933,5
1322,928,4
4042,4362,4
4403,4496,4
2498,3698,4
4080,4309,6
4002,4371,5
4012,4373,6
1504,3436,4
1042,760,5
1677,3839,4
3149,3813,4
4682,4695,4
4610,4678,4
4633,4643,4
2400,2786,5
1482,2857,4
2816,3152,5
1074,2906,4
2411,3615,4
2776,4364,4
2959,4044,5
4083,930,5
2278,4478,4
2065,2685,4
1668,1712,4
5042,5053,5
5152,5171,5
5154,5161,4
2996,3510,5
2965,3603,5
3654,977,4
2427,2924,4
1343,2965,7
1524,2901,4
1328,58,5
2734,950,9
1429,2954,4
5139,894,5
5446,5491,4
5446,5483,5
5408,5438,4
5451,5468,4
5429,5467,4
5466,5499,6
2992,4331,4
5662,5668,5
4044,5426,5
4388,5494,5
2789,5451,5
1696,5419,5
3685,4319,4
4135,4398,4
4248,4522,4
4248,5026,4
5758,5800,5
5789,5796,4
5733,5793,4
5767,5787,4
1538,631,4
2201,2684,4
2560,3963,5
3527,4430,5
1572,4430,7
2162,833,4
2686,290,4
1545,727,4
338,624,4
338,419,5
132,374,4
1350,3957,5
3493,5143,5
2621,3266,4
2586,2700,4
5960,5981,5
5960,5979,4
5910,5989,6
5950,5959,4
291,652,4
6030,6084,5
6039,6077,7
3847,4400,4
1616,5912,5
2869,5978,5
1106,3106,5
3544,5500,6
4395,4904,5
4990,5494,6
2759,6063,7
5491,6067,5
5440,6096,6
1853,5426,5
6401,6447,4
3937,4646,5
1617,3998,4
3963,4609,5
1554,3016,4
207,2376,5
6708,6727,4
6812,6860,5
6870,6889,6
6832,6833,5
2403,5055,4
1444,5356,4
147,5356,4
5055,5455,4
6974,6981,4
2074,2681,4
7421,7485,4
2905,7563,6
2712,7550,4
6394,7007,4
3453,3967,4
4814,700,5
1472,2425,4
7771,7772,4
5989,935,4
2734,6008,5
438,5734,5
3148,4248,4
2260,4217,4
1943,3525,4
4223,5885,5
8030,8034,4
8221,8269,6
3043,3681,4
8368,8390,4
7342,8338,4
4314,6723,4
8501,8544,7
8572,8587,7
6418,7540,4
1769,5905,7
7039,8216,5
2031,816,4
3821,4478,4
3463,721,4
4919,5073,5
6931,7439,4
1343,7612,5
2789,4554,4
5798,6847,4
1817,6039,4
6408,6869,4
5724,6897,4
5724,6847,4
5443,5744,4
6064,6884,4
438,6017,4
438,6832,4
477,6077,4
5761,6063,5
6077,6853,4
3576,5734,4
3544,6872,5
4316,959,4
5954,6847,4
5954,6855,4
5954,6071,4
184,6853,4
6469,6853,4
2993,6896,4
5481,6825,5
6049,6858,4
2773,5771,4
4969,997,4
4412,6866,4
4412,6880,4
5771,6844,4
4221,5800,4
3994,6959,4
7477,7581,4
1436,3784,5
3267,7342,4
5423,8297,6
1382,8221,4
7872,8289,6
6765,7560,4
8735,8775,4
1677,8158,8
2776,4421,4
2326,4035,4
4550,7645,7
8845,8873,6
8993,8995,5
8960,9000,5
8934,8987,4
1719,4147,6
1747,2928,4
2776,3503,5
4072,7629,5
8454,8692,4
3527,8692,4
1146,3255,5
1833,4742,4
3615,5286,5
7069,8273,4
4881,848,4
9040,9049,4
9069,9076,4
9107,9159,4
3519,4613,4
6027,8671,6
348,6946,4
836,942,4
3453,8121,4
4753,7796,5
6703,7868,4
1230,3403,6
3883,9026,6
6372,9022,4
4983,5989,4
1254,6080,4
6100,6294,4
2911,4854,4
392,6882,4
283,485,4
2123,7508,4
9453,9482,7
4046,8995,4
6293,8121,4
9656,9683,4
9659,9693,4
9679,9683,4
9707,9727,4
9715,9750,6
7799,813,4
5007,5571,4
8019,9386,4
7396,8518,4
6053,7193,4
9922,9928,5
5855,624,4
662,9259,6
2269,6622,4
4552,7243,7
3439,6776,4
6776,9611,5
5096,9610,4
9766,9999,4
9728,9999,4
10040,9367,5
10145,10168,5
10212,10238,5
1045,9793,4
4689,8194,6
6827,8112,4
10353,10376,4
10322,10353,5
10334,10376,4
10326,10365,5
