passenger1,passenger2,Number of flights together
324,364,6
308,313,9
649,688,4
726,797,5
758,797,5
757,769,6
717,789,4
705,724,5
705,729,6
755,791,6
826,885,4
1021,395,4
1223,1228,6
1310,1314,5
1413,1490,6
1479,1481,4
334,701,4
1967,1997,4
1970,1971,6
2419,2470,4
2405,2467,6
2413,2438,4
2443,2469,4
2496,2500,5
2717,2776,5
106,165,4
217,219,4
374,381,6
517,540,4
681,684,6
731,755,5
730,764,6
776,796,4
721,759,5
752,774,5
718,775,4
806,831,6
847,897,4
851,895,4
915,951,5
928,975,11
901,915,5
1035,1056,5
1051,378,4
1242,1267,4
1207,1236,4
1272,351,4
1044,721,4
1631,1698,4
1717,1786,4
1717,1777,4
1842,1864,4
1927,1996,5
2133,2195,4
2125,2159,4
2129,2187,4
2214,2219,4
2238,2275,4
2440,2489,6
2429,2430,4
2409,2463,4
139,2392,4
2506,2591,4
2554,2570,7
2756,2777,4
2802,2816,4
2821,2853,4
2963,2977,4
274,610,6
276,606,4
3436,3476,4
3418,3477,4
1228,1576,4
3541,3575,4
3518,3582,5
2182,3119,4
3161,662,5
3438,374,4
1023,3405,5
1001,3491,5
3839,3847,4
3916,3933,4
3913,3974,5
4025,4053,11
4032,4084,6
272,3114,4
2153,3114,4
2186,286,5
1476,1819,5
2568,650,5
1645,2521,4
2521,293,5
1677,271,4
4211,4292,4
4229,4248,4
289,3436,4
246,3477,4
2175,724,6
286,3440,6
3439,655,4
1352,2955,4
4308,4354,5
4346,4399,4
343,917,4
2174,241,7
2993,980,4
1315,2905,5
1576,211,4
2273,3578,4
2235,3550,4
2249,3545,6
4405,4466,4
4404,4435,6
141,3603,5
4580,4597,4
3876,4529,5
4069,4387,5
4010,4337,6
4633,4670,4
4656,4696,6
4620,4670,4
4614,4617,4
1444,407,4
2769,993,4
2537,2992,4
1371,1696,6
1818,2959,6
1370,2758,4
139,3612,5
2728,4671,6
4364,975,5
1337,4052,5
1464,4017,5
2959,4012,5
1482,4042,5
4845,4876,5
4830,4891,4
4830,4880,4
4903,4925,4
1084,2678,5
5042,5055,5
5010,5027,4
2429,3523,4
5310,5358,4
5312,5376,6
5307,5308,5
1387,972,4
2325,2901,7
1321,2263,4
1398,141,4
3648,771,4
3837,5361,4
3401,874,4
3779,385,4
3147,352,4
5436,5468,4
5408,5426,4
5401,5481,4
5406,5435,4
1819,5009,4
1801,4647,4
5624,5656,5
4309,5402,4
2759,5498,5
2511,5490,5
4016,5463,4
4012,5448,6
2036,2401,4
3343,5145,4
4091,5156,4
1163,940,5
2988,4109,4
4020,960,5
5771,5798,9
5765,5786,4
5732,5799,4
5702,5796,5
5701,5727,4
5701,5741,4
1786,384,4
2254,3713,4
4468,606,5
2803,4418,5
1651,4594,4
1598,4914,5
344,867,5
2105,3157,4
5942,5944,4
5972,5976,4
5916,5945,5
5940,5968,4
5914,5939,5
1019,2124,4
6009,6042,4
6052,6083,5
6059,6082,5
6328,6380,4
1034,5976,4
5708,5982,4
4717,5278,4
3544,6049,6
4969,5443,7
4969,6069,6
1884,6017,6
2717,6064,6
5423,6084,6
3979,6050,4
5479,6073,4
2560,3920,4
3998,4069,4
1586,4523,4
4542,4609,4
2596,3920,4
6579,6580,4
5463,6456,4
6869,6872,6
6829,6896,5
6844,6866,5
7312,7327,5
7329,7340,4
2231,7616,5
1252,4874,4
2469,4148,4
477,5964,6
7745,7778,4
7719,7721,4
7721,7800,6
4481,5724,5
5798,5964,5
1569,2790,4
5777,935,5
7811,7813,4
4131,7168,4
3668,844,4
3568,4224,4
1963,4223,5
8023,8050,4
1697,486,4
8107,8118,4
8295,8300,4
8289,8297,6
8270,8276,5
3294,3651,5
8316,8398,5
1011,4524,4
235,5377,4
2285,7141,4
756,7822,5
3367,732,4
3505,5217,4
1452,4344,4
4153,802,4
2401,4919,4
4221,721,4
4536,5012,4
6985,7470,4
5964,6848,4
6001,959,4
438,6844,4
5977,6064,4
2717,6864,4
2717,6830,4
4674,6885,4
4674,6408,4
6853,997,4
4316,6008,4
5744,6839,4
5744,6069,4
5720,6869,4
5481,6469,4
6049,6844,4
5734,6844,4
5491,6833,4
2759,5977,4
1884,4373,4
6446,8047,4
18,4190,4
253,4150,4
4957,6857,6
5012,7442,4
4816,857,5
5423,7872,7
3093,8216,4
1015,6054,5
3784,4416,5
1635,3735,6
3898,8132,4
5442,7602,4
2906,3292,4
4716,896,4
3866,8108,4
233,4126,4
3920,7532,5
258,4147,4
1369,4510,5
3820,979,5
814,8686,4
2432,5435,4
1701,4779,4
3220,5662,5
9015,9076,5
9044,9098,7
1794,8964,4
5858,6299,4
3709,7835,4
3329,3711,4
494,815,4
3975,8149,4
5869,9095,4
5482,6707,5
1940,3590,5
1635,6745,4
5246,9030,4
1769,2964,6
451,8007,4
1244,1789,4
8037,8461,4
5037,8105,4
9327,9382,4
9413,9465,4
8048,8961,4
2982,3995,4
9659,9665,4
9684,9693,5
7181,9555,4
2482,7896,5
2443,3589,4
8598,9237,4
1598,9288,4
1673,6050,4
6053,8558,4
1319,6050,5
8893,9255,4
9963,9997,5
1958,6363,4
8892,9286,4
10018,10097,6
8120,9598,4
288,3297,4
4611,7242,5
5795,8158,5
5579,8403,4
1635,5490,4
7679,9620,4
300,5383,4
5383,622,4
5383,9602,5
4933,5096,5
388,9642,4
2090,3002,6
332,3875,5
1715,9682,4
10250,10270,5
8167,8977,5
2723,8810,4
6741,855,4
1338,4401,4
1020,5611,5
6478,7600,5
10313,10322,7
10338,10384,4
1223,9340,4
7532,9937,4
9522,9977,4
10389,6813,6
10353,281,4
10384,3590,4
10313,281,5
10313,2960,5
10410,10443,4
10420,10493,4
10409,10414,4
10431,10480,4
10442,10481,4
10198,592,4
10401,7625,4
10352,6707,4
10515,10592,4
10377,3286,6
10377,2482,5
5423,8048,5
1613,6067,4
3049,6382,4
1917,8363,4
9101,9874,4
7505,9834,5
10179,7890,4
10627,10631,7
2586,9940,4
10590,9875,4
4004,6347,4
3608,5260,6
2937,9540,4
174,4034,5
484,7898,5
10791,10798,6
10710,10786,4
10718,10756,4
10706,10771,4
10726,10774,4
10720,10731,4
10719,10737,4
10719,10762,4
10796,10799,4
10703,10780,4
1008,1994,4
2250,534,4
10814,10873,5
10838,10879,4
10873,10896,4
4494,5873,5
2254,7118,4
10328,11049,4
11104,11126,4
11169,11178,4
11101,11114,4
11161,11183,4
11129,11165,4
11103,11189,4
11109,11122,4
11109,11196,4
3616,9752,4
4591,5957,4
6783,932,4
3958,75,4
11272,783,4
75,9752,4
10726,4820,5
11382,11386,4
11359,11360,4
4056,6084,4
5207,8363,4
525,6084,4
2910,9840,4
4165,4846,4
2262,2857,4
9057,9977,4
11536,11562,4
1927,5055,5
1246,5850,5
4484,9251,4
2185,9770,5
2221,5798,4
8094,8130,4
11763,11798,5
11360,7064,6
11180,7319,5
10112,7153,4
5509,5707,4
7418,7590,4
10453,921,4
11769,5869,4
6143,7897,4
11926,11958,4
10731,11885,4
2611,5777,4
1670,1762,4
1041,6522,4
2108,2479,4
3432,4823,4
2503,400,5
1283,7679,4
5209,7677,4
5209,8194,4
6987,7677,6
2532,4689,4
10037,7809,4
10037,210,4
1874,512,4
11957,1276,4
11954,4235,4
10083,10394,7
5358,7076,4
10253,9068,5
10541,8584,5
10497,4293,5
10616,1505,6
6113,855,5
167,479,5
10985,8529,4
10731,7393,6
11147,3885,4
11282,2614,4
9385,9898,4
9331,9955,4
5623,9493,4
1828,7864,5
1900,6959,4
11408,8149,4
5002,6084,6
10764,7682,4
3361,8163,4
11883,5093,4
10702,11880,4
1351,9596,5
4584,8363,4
664,6689,5
10354,10479,4
6166,7094,5
5231,7693,4
10024,7983,4
3755,7565,4
8544,9511,5
7446,8505,4
6954,919,5
2327,5043,4
10250,1836,4
10758,8521,4
10240,7832,4
1178,3569,5
12430,9701,5
264,7222,4
1266,2046,4
10238,300,4
5925,9712,4
7007,8988,6
11378,7319,4
6622,6865,4
1021,5747,4
12051,7043,4
11376,5418,4
12002,5136,4
12515,12520,4
12542,12557,7
12506,12576,4
1982,4147,5
12170,2713,4
3957,5162,4
10329,12540,5
12504,8871,4
4816,9252,4
7427,9233,4
11035,6059,5
10238,10597,4
10512,45,4
1470,4059,4
4478,7720,6
11649,3307,4
12362,3292,4
12351,7845,4
12050,4147,4
12746,12772,4
12761,12789,4
12908,12919,4
12945,12948,5
5995,761,4
11812,9714,4
12005,12893,4
3491,420,4
11753,8544,4
10486,5686,5
10115,7395,4
10326,8594,4
10614,11192,4
10196,6323,6
13261,13264,4
13218,13284,6
12614,7338,4
7099,874,4
13607,13658,4
7064,8446,5
8446,8556,6
6459,6874,4
12189,9472,5
13654,1651,4
10638,6294,4
13258,13592,4
13819,13857,4
10154,2574,4
13194,9061,4
10023,10627,5
4972,9152,4
12516,9171,4
11379,7327,4
10115,13683,4
6060,9800,4
6380,9800,4
12088,4562,5
12284,2204,4
311,8271,5
13203,9721,5
281,9649,4
14074,14100,5
14074,14092,4
14055,14059,4
11003,6642,4
13404,628,4
11011,7846,4
3380,446,4
5368,9665,4
13848,4989,4
356,7555,5
139,9410,4
3435,6576,4
13802,7668,4
4601,5380,4
6976,8007,4
13218,4685,4
2106,7194,4
2106,6067,4
12212,3938,4
10205,8552,4
1774,9532,4
2868,738,5
2807,4973,4
13272,978,5
10605,1419,5
12910,14055,4
12301,9688,4
14644,14661,4
14631,14661,4
14739,14747,4
14731,14787,4
14720,14768,4
14705,14727,4
15158,15167,4
15180,15193,4
324,376,5
618,666,4
704,768,6
706,766,6
702,735,4
724,737,5
768,785,5
769,779,4
812,884,4
950,997,9
1021,1038,5
1043,1044,5
1072,376,4
1025,360,4
1026,305,4
1045,392,4
1001,751,7
354,706,4
315,737,4
364,764,4
1077,397,4
1930,1954,5
2144,2189,4
2180,2194,4
2129,2182,4
2110,2122,4
2469,2478,6
2026,72,4
2869,2879,4
2803,2809,4
243,280,5
519,529,4
606,613,4
709,768,7
734,740,5
701,781,5
812,844,5
806,827,7
862,899,4
832,849,4
934,944,4
1029,1073,5
1057,330,4
1051,781,4
1043,712,4
362,771,4
1953,1977,4
1917,1979,4
1913,1922,7
2158,2188,4
2109,2158,4
2121,2193,4
2145,2155,4
2141,2165,4
2223,2284,8
2225,2268,4
2235,2276,4
2241,2276,6
2446,2489,5
132,2068,5
2506,2577,4
2674,2697,5
