passenger1,passenger2,Number of flights together
43,99,4
127,132,5
248,276,5
205,283,4
328,366,6
338,374,5
704,778,5
704,758,5
750,799,5
740,791,6
888,897,4
1111,1134,4
1038,330,4
1288,1299,4
1342,1356,4
1302,1363,4
1001,772,9
1001,706,4
368,709,4
392,791,5
334,706,5
1511,1557,4
1942,1951,4
2135,2144,4
2119,2129,4
2482,2488,4
2497,2498,4
2370,93,4
139,72,4
2752,2754,5
221,286,5
510,556,4
607,645,4
703,785,5
774,792,5
752,763,8
864,886,4
945,967,4
1163,1196,4
1363,1372,4
1305,1327,4
1029,763,5
1029,740,4
1538,1548,5
1560,1594,5
1804,1875,4
1956,1967,7
1947,1954,4
2144,2173,4
2124,2190,5
2130,2165,4
2133,2196,4
2164,2172,4
2114,2190,4
2145,2158,4
2141,2190,4
2223,2295,7
2214,2217,4
2206,2235,5
2249,2272,4
2345,2392,4
2409,2434,4
2404,2406,7
2036,22,5
2528,2586,4
2641,2700,4
3157,3180,5
3309,3311,5
205,622,4
3109,645,5
3402,3414,6
3402,3436,6
1581,314,4
3506,3571,4
3197,685,4
219,3183,5
3602,3616,5
1023,3436,5
1056,3447,5
4060,4063,5
4012,4075,4
4063,4069,5
4010,4063,4
4009,4012,10
272,3167,4
2152,3193,4
1458,1853,4
2568,299,4
1693,215,4
2511,407,12
1598,3914,5
1250,86,4
4230,4260,4
4207,4256,4
4220,4269,4
1053,2175,5
1243,2573,5
4376,4384,5
4318,4336,6
4331,4361,5
1221,83,4
2170,260,4
1396,2942,5
2906,994,4
2912,910,5
3104,3924,4
4080,4362,4
4423,4493,4
4453,4496,6
2325,3675,5
4071,4340,4
4053,4395,8
1532,2571,4
1677,4516,4
4615,4667,4
4607,4682,7
4608,4615,4
4614,4656,5
1696,2717,7
1900,435,4
1484,2759,9
2769,910,4
1818,2941,6
2759,2959,8
240,4143,4
3332,4031,6
4765,4786,4
4765,4779,4
121,2457,4
1458,2509,4
1464,4066,7
2717,4025,7
1482,4016,6
5019,5098,6
2236,3679,5
2325,977,4
3536,3654,4
2263,977,4
2437,2932,6
4551,5356,6
2965,755,4
3713,5138,4
5456,5499,4
5463,5478,4
5414,5435,6
5414,5471,6
5412,5438,6
5481,5491,12
5486,5500,6
5426,5443,4
5406,5416,4
5419,5443,4
5476,5478,4
1013,332,4
2905,4022,4
5636,5683,4
5634,5686,4
4044,5435,6
4016,5408,5
4364,5432,5
5754,5762,4
4665,4927,4
1572,3998,6
1046,3404,5
3794,5858,4
3919,399,4
2224,226,4
5904,5909,6
5905,5994,4
5979,5993,4
5917,5918,5
1048,3288,5
1982,3148,4
6043,6047,4
6301,6331,4
1126,4058,4
337,4752,4
4969,6064,8
4942,6064,6
2294,4316,8
5491,6001,6
5500,6049,6
1692,4914,4
4967,6004,4
3963,4914,4
6855,6866,5
6884,6889,5
6833,6844,5
6824,6836,6
6817,6827,5
2544,5356,4
3295,6004,4
3991,4292,4
4212,5467,4
1046,3208,4
7010,7031,4
7034,7061,4
7245,7253,4
7324,7394,5
7533,7544,5
3994,700,4
7735,7795,6
7771,7792,4
7721,7794,4
3517,3858,4
1849,4097,4
1282,344,4
334,5962,5
1250,6010,5
4700,6887,4
5755,6807,4
8320,8381,5
8351,8361,4
211,3153,5
3565,3631,4
1982,6776,7
3421,732,4
2534,3519,6
3173,7603,4
6159,7613,5
3796,6416,4
7535,8375,4
4182,4536,4
2227,721,4
6418,8089,5
3967,6993,4
5769,6809,4
324,6839,4
5706,6096,4
4373,6844,4
4373,6872,5
6848,997,4
5443,6870,5
477,6839,4
2717,6836,4
6063,6878,4
5500,6885,4
5966,6880,4
6008,6847,4
4607,5724,4
3120,6047,4
184,6832,4
2993,6847,4
6049,997,4
4969,6874,5
7029,7558,4
6003,6879,4
2926,6097,4
1329,8216,4
4157,7864,4
7463,853,4
423,7433,4
1635,3292,4
1635,7662,8
3169,8190,5
4035,8190,4
2776,3855,4
4468,7662,7
4468,7685,6
8961,9000,5
6585,7463,4
3820,8109,4
7716,8961,4
1143,1752,4
3527,711,5
1468,6486,4
4054,6040,4
5482,6813,8
2433,4502,4
8127,8686,4
5232,629,4
4769,564,5
9049,9083,4
9035,9097,4
9053,9074,4
3657,529,4
1955,5746,6
2518,4177,4
5912,7433,4
1735,249,5
1095,5404,4
348,3718,4
2458,8604,4
3405,5867,7
4753,8733,4
6054,7696,5
7403,7776,5
3855,5579,4
5584,901,5
6707,7602,4
3503,6786,5
3735,5566,4
4249,6703,4
3292,5513,4
6345,9031,4
6294,8037,5
3177,6052,4
4135,6259,4
211,7810,4
9345,9391,4
4626,6613,4
2609,4612,4
2526,6102,4
9506,9599,4
9602,9690,5
9640,9693,5
6003,9026,4
5544,9098,7
7896,8775,5
8541,9201,5
1189,3445,4
4546,5137,5
8019,9330,5
9828,9829,4
3078,8584,7
8518,9255,4
9929,9991,4
163,8251,5
3223,8257,10
10010,10052,4
3466,9950,4
5518,9924,5
5789,6447,5
3439,9602,5
187,5096,6
5672,6776,5
622,9660,4
622,9642,5
1089,4449,6
5359,9672,4
6523,9969,4
2841,3187,6
1434,2945,4
1067,4978,4
2701,3029,6
10212,10257,5
10153,2430,4
3608,6478,4
6289,8171,4
7600,8685,5
3196,5942,4
10353,10396,5
10327,10368,5
10357,10396,4
1223,848,4
1190,1223,4
7538,9264,4
1824,9810,4
10046,8588,4
7605,8441,4
9769,9951,4
10322,2960,5
10313,6441,5
10427,10465,4
10415,10482,4
10402,10470,5
10485,10496,4
2441,9859,4
1451,2537,4
2857,2960,4
3278,9069,6
6805,9874,5
3802,4441,4
10368,3802,4
3020,7253,4
5509,9481,4
10396,2973,4
5544,6707,4
1352,8137,4
10767,10774,4
10716,10718,4
10709,10785,4
6175,7612,4
10814,10896,4
5668,9026,5
6089,6707,4
1045,7403,4
11001,11049,5
11101,11165,4
11127,11199,4
11193,11200,4
11141,11161,4
11103,11151,4
11160,11198,4
11173,11189,5
11114,11127,4
10731,2024,4
10727,4774,4
5283,8515,5
1511,9150,4
258,5533,5
3924,5058,6
10523,7433,4
10541,4293,4
10271,8017,4
10644,4293,4
4650,5941,4
10850,9223,5
2718,8444,4
3245,5030,4
11667,11674,4
8595,942,6
1191,7713,4
11729,11730,8
8956,9050,5
6976,9818,4
11814,11870,4
10818,9267,4
2284,3735,4
4745,9790,5
10206,9280,5
10938,3846,5
7937,9653,4
3875,8704,4
11498,11799,4
