passenger1,passenger2,Number of flights together
313,374,5
740,766,6
1011,1048,5
1021,1044,5
1035,395,4
1035,378,7
1002,368,4
1220,1232,4
392,762,4
1662,1674,4
1868,1883,5
1945,1988,4
1933,1988,4
2102,2146,4
2217,2230,4
2272,2300,5
2317,2332,4
2451,2459,5
2074,56,5
141,2325,5
103,160,4
308,374,5
528,544,5
766,772,6
712,751,5
724,797,6
709,751,6
705,755,5
812,839,6
806,878,4
802,889,6
1073,360,4
1085,375,4
1309,1358,4
1035,749,5
1287,333,5
1506,1548,4
1904,1974,5
1957,1984,4
2144,2182,4
2114,2148,4
2257,2270,4
2226,2290,6
2260,2291,4
2414,2474,4
2432,2463,4
2418,2476,4
2407,2441,6
2464,2478,7
2426,2486,4
165,72,4
191,91,4
2521,2554,5
2729,2775,4
2908,2933,5
1218,1631,4
3184,682,4
3157,650,4
3634,3689,6
3653,3677,5
3440,701,6
3742,3791,4
4052,4063,4
2152,292,4
2183,246,4
281,3198,4
2556,3171,4
1289,3141,5
1273,45,4
4217,4269,7
3155,3479,4
3195,3475,4
3151,716,5
4316,4371,4
4345,4398,4
2030,2626,4
1377,940,6
1323,2959,4
1315,945,5
3706,859,6
2284,3578,4
2284,3571,4
2295,3536,4
4409,4425,4
4427,4497,4
2334,3639,4
126,2407,5
187,2410,4
4551,4575,4
4029,4362,4
3117,368,4
1532,247,6
264,4561,4
4671,4700,5
1288,2743,5
1484,3152,4
2802,2992,6
1696,2941,8
3321,4091,4
2759,4353,7
2717,4042,7
2783,4083,5
4907,4994,4
2655,4407,4
5069,5095,7
5133,5150,4
5212,5278,4
5342,5361,4
2951,3509,4
2279,923,4
2222,2458,4
2263,3639,4
2928,972,5
1817,959,6
5436,5476,4
5436,5490,4
5445,5457,4
5406,5412,4
1005,2713,4
5590,5596,8
3348,848,5
4084,905,5
5609,5686,6
5647,5671,4
5615,5659,4
4373,5500,7
4080,5423,4
2783,5408,4
4013,5410,4
4339,5495,5
4316,5500,9
1696,5435,6
5491,928,5
4083,5458,5
1976,56,4
3685,3716,5
1025,2437,4
889,972,4
229,4248,4
5704,5734,4
5730,5765,4
5722,5780,4
5757,5798,5
5701,5705,5
2254,5138,5
4867,5359,4
1293,2280,4
4412,4942,7
1692,3527,5
3302,833,7
3284,4056,4
1649,2998,4
1545,955,6
344,3645,5
1537,624,4
2227,3463,6
3645,3943,5
3910,419,4
5928,5941,5
5942,5992,4
5905,5961,4
5918,5997,5
5917,5982,5
5957,5958,4
3148,5865,4
6019,6050,4
6068,6090,5
6063,6077,7
2074,5002,4
6126,6180,5
6263,6266,4
5797,5978,4
1034,5912,5
5708,5927,5
2747,574,4
202,2747,5
4199,4761,4
1938,574,4
4969,6047,6
1884,6039,6
4412,6017,6
3937,4552,5
3998,5460,4
1586,3920,4
1598,4945,5
2544,3963,4
2544,443,4
3963,5450,4
4914,5460,4
1452,3016,4
188,2376,4
2383,2817,4
6872,6878,5
6885,6889,6
6830,6858,5
6825,6889,6
6896,6897,5
4285,4641,4
147,1617,4
4646,5025,4
3385,5009,4
4292,4542,5
3670,443,4
1643,4551,4
1476,391,4
6930,6956,7
7007,7088,4
7410,7485,4
7437,7442,5
5522,6765,4
7618,7629,5
6554,7077,4
2231,7603,5
2938,5748,5
2496,3288,4
2378,4227,6
3330,95,8
7741,7774,4
7705,7722,4
7821,7835,4
3590,4072,6
3226,3668,4
2905,3806,5
5344,602,4
2669,5741,6
1272,3967,5
1012,5775,5
2790,4399,4
8343,8368,4
8312,8368,4
8390,8397,4
8368,8394,4
3849,4213,5
3849,7172,5
1052,7864,4
1319,7369,6
2926,7868,7
2985,5058,4
2446,4761,6
2786,4404,4
3475,4965,4
170,3303,4
2645,7476,6
5074,6975,4
147,8072,4
5798,6077,4
6016,6832,4
6408,6839,4
5443,6874,5
6064,6817,5
438,6829,4
477,6833,4
6063,6893,4
5761,6809,5
5500,6809,4
5966,6075,4
4607,5964,4
3120,6898,5
1865,4481,4
5734,6077,4
5771,6853,4
2759,5769,4
1884,6854,4
1789,6773,5
3368,6725,4
4670,7451,4
4182,5912,4
5080,956,4
4363,7830,4
7868,8289,6
1182,8297,5
7039,7868,6
8727,8743,4
2857,3169,4
3898,7662,4
3898,7685,4
2589,7699,4
8956,8957,4
8939,8977,4
6380,6975,4
782,803,4
3242,5674,4
3607,8010,4
1570,8078,4
3077,8024,7
3527,8127,4
3937,711,4
1747,83,6
3147,4815,4
1119,165,4
1106,1933,5
3275,7640,4
1735,3059,4
2982,6940,4
3440,3743,5
1386,3730,5
3995,760,4
2569,8293,4
1389,6084,4
8017,8519,6
6396,9083,4
5509,6703,4
4249,7872,6
4249,7662,6
6345,9014,4
9258,9267,6
5787,8093,4
3477,5795,4
1569,3477,5
8093,8402,5
5911,6447,5
6242,8007,5
1042,6293,6
7418,7612,4
3445,6783,4
4764,6930,4
3101,7379,5
9542,9587,4
4719,7909,4
4483,701,4
4213,8483,4
9638,9674,4
9634,9642,5
9704,9728,5
7726,966,4
6202,6783,4
6512,9392,5
3703,4036,4
135,6380,5
9969,9987,6
9912,9968,4
9950,9963,5
2875,7712,4
10038,10085,4
2323,3466,4
1315,4484,4
4031,595,4
2719,9997,4
3127,3486,4
3746,6293,4
4319,6441,4
6020,7605,5
6052,6707,5
5137,9987,4
4933,622,5
4933,9686,4
5096,9648,4
174,8260,6
2323,3172,4
288,9715,4
1429,3955,4
6822,6994,4
1715,7898,7
1715,9014,4
10203,10256,4
5101,519,4
1822,7560,9
2773,3536,4
2960,3418,6
7636,9977,4
10412,10418,4
10431,10465,4
10439,10476,4
10449,10486,4
10419,10431,4
10419,10428,4
10416,10476,4
2720,9620,5
848,9418,4
3968,8351,6
7951,9499,4
10492,3445,4
10322,2926,5
3356,5668,6
8158,9441,4
4058,9472,4
2656,8557,4
7253,9381,4
3020,9703,5
4157,4513,4
10349,9410,4
2065,8596,6
1325,4177,4
6113,7373,6
3002,6729,5
2841,382,5
1822,3875,4
1822,484,5
10741,10764,4
10762,10799,6
10704,10731,5
391,6456,5
5569,8351,4
1204,2391,4
10612,2851,4
11011,11090,5
11060,11062,5
2563,9623,4
3429,9399,4
11118,11130,4
11103,11180,4
11158,11200,4
11120,11122,4
11189,11196,4
11215,11249,4
932,9828,4
11272,1678,4
10766,3187,5
11305,11380,4
11056,9268,4
1791,7064,4
5796,7381,5
10757,7515,4
10550,633,4
10616,1342,4
1164,1927,5
2701,6468,4
11583,11588,4
1343,8004,4
5850,9063,4
11636,11652,5
8542,9770,4
2185,8399,5
7801,942,4
10455,8477,4
11720,11736,4
9532,9864,4
11804,11886,4
11874,11880,6
10615,11808,4
3163,6143,4
11919,11930,4
11923,11954,4
167,9380,4
3367,7919,5
2443,2790,4
1064,8266,5
10017,7098,4
10083,888,4
10023,4010,4
10023,2489,4
1378,5031,4
5031,6987,5
10497,3117,4
4814,5225,4
11466,2851,4
11408,11923,4
10058,11007,4
10016,2138,4
3581,7679,4
2062,7983,5
4816,9421,6
8017,855,5
10541,7747,5
10697,3589,5
3416,9758,4
10535,4056,4
4853,6171,4
11267,11370,4
10243,1521,5
9127,9389,4
637,9369,4
637,8128,4
7881,9389,4
8947,999,4
12133,12177,5
12164,12192,6
11917,5459,4
4235,8475,4
10767,11817,4
10778,8574,4
10234,11803,5
10234,4451,4
10714,1240,4
382,4945,4
11698,3877,4
1064,8006,6
10316,9019,4
5016,878,4
11280,7983,4
10024,2062,4
11057,2146,4
10857,9957,4
348,4242,5
435,4462,4
7420,8972,4
10572,10604,5
7679,9386,4
10267,6548,4
10509,8521,4
12428,9701,4
10043,134,4
3626,5217,4
4037,9601,4
12050,7043,5
12532,12537,4
12532,12558,4
4854,9700,4
12119,2713,4
5755,8358,4
7327,7508,5
12328,1532,4
10365,1327,4
10512,6066,4
5980,86,4
10357,7812,4
10478,9862,5
1030,11699,4
2313,9885,4
10446,12377,4
2653,2969,4
5436,5714,4
12428,517,4
5303,761,4
11422,11544,4
11529,12230,4
11198,2274,5
11542,2258,4
