passenger1,passenger2,Number of flights together
170,188,4
341,378,5
414,435,5
673,696,4
746,747,5
737,773,5
750,759,5
821,871,4
804,819,5
949,989,5
1056,1073,5
1310,1337,5
360,755,4
1767,1797,4
1807,1821,4
1960,1967,4
1904,1933,4
2168,2190,4
2164,2180,4
2075,53,7
255,274,7
320,385,4
325,388,4
408,420,4
409,442,6
649,679,4
622,658,4
811,827,4
901,975,8
1031,368,5
1263,1288,4
1321,1342,7
1430,1472,4
1029,701,4
1057,761,4
1021,781,5
1616,1636,5
1766,1774,5
1905,1957,4
1911,1986,6
2163,2182,4
2145,2185,4
2204,2292,4
2238,2284,5
2207,2282,6
2235,2241,4
2332,2390,4
2429,2464,4
2427,2467,7
2068,2325,4
2518,2580,5
2717,2734,7
2705,2742,4
2832,2868,4
2968,2969,7
2938,2957,4
3041,3043,5
3101,3186,4
3155,3195,4
3104,650,6
3101,677,5
3413,3493,4
3410,3411,4
1247,1542,6
3512,3599,5
3645,3681,4
3654,3675,6
3604,3607,4
3436,772,5
3436,701,4
3831,3847,4
3967,3990,5
4029,4088,5
4069,4090,7
4057,4087,4
2152,263,5
218,3122,4
263,679,4
221,3198,4
2573,684,4
226,2586,5
3152,407,5
1595,3941,4
2203,3600,4
4215,4266,5
4258,4269,5
4239,4248,4
2105,3463,4
211,331,5
4336,4346,4
4346,4387,6
1394,2941,4
1367,913,4
1327,2941,5
2954,998,4
3737,891,6
2212,3589,8
2273,3536,4
2226,3575,4
2458,3698,4
391,4593,6
4007,4362,4
4614,4618,4
2769,3046,5
2501,2750,5
1371,2776,4
1332,3046,4
1666,2969,6
687,713,4
1882,250,4
4125,584,4
3321,4400,4
3370,4038,4
3204,3380,4
3249,4357,4
4717,4779,4
165,2486,4
139,3615,6
2446,3609,4
2457,3615,4
2867,4339,5
2857,4088,6
4364,928,5
2941,4053,5
1464,4373,5
2511,4083,5
2511,4017,5
4880,4884,4
4811,4869,6
1673,3600,4
5048,5066,6
5125,5144,4
3296,689,4
2262,2378,7
3585,3661,4
5312,5379,4
5323,5354,4
2467,920,4
2924,3675,4
1328,2400,4
1365,1608,8
1381,2786,4
5198,749,5
3408,3713,4
5439,5477,4
5435,5458,7
5435,5471,6
5410,5481,4
5414,5423,4
5412,5446,4
5451,5499,4
5426,5458,6
5419,5468,4
4641,5042,5
5514,5576,4
5624,5668,5
407,5440,5
2759,5456,5
2511,5471,4
2969,5490,6
2789,5466,5
4053,5484,5
3618,5611,5
4061,4184,4
5703,5775,5
4379,917,4
4607,4990,8
2686,3569,4
2635,2909,4
5935,5953,5
5910,5954,4
1982,844,4
3289,4315,4
6009,6079,4
6019,6051,4
6025,6037,4
3015,5996,5
1721,4706,4
2504,6027,4
3998,4346,4
1586,1617,4
1444,3991,5
6729,6790,4
6848,6874,5
4285,4945,7
5025,6092,4
4258,6027,4
6908,6951,5
3205,6656,4
7307,7375,4
7407,7485,4
7421,7487,4
7543,7563,5
3016,813,6
1554,2162,5
7606,7662,5
5653,7005,5
2669,4849,4
4850,675,4
348,7506,5
45,5955,5
7869,7900,4
7869,7884,4
670,7392,4
3806,7141,5
8102,8110,4
8250,8254,5
3694,485,4
1254,5596,4
