passenger1,passenger2,Number of flights together
57,67,4
119,163,4
240,260,4
416,430,4
615,622,6
733,781,5
707,791,5
707,743,5
751,761,6
740,759,8
839,894,5
821,866,5
804,839,5
1033,1064,7
1035,355,4
354,761,5
1095,781,4
366,760,6
305,793,5
323,770,4
1988,1997,4
1947,1949,4
1913,1988,4
2168,2179,4
2119,2158,4
2410,2438,4
2521,2600,5
254,280,7
355,376,5
542,568,4
603,696,4
727,793,5
747,786,5
732,780,5
723,754,4
730,763,6
709,749,5
734,761,5
701,758,5
813,843,4
1023,1051,5
1023,1072,5
1210,1233,4
1025,774,4
1548,1592,4
1510,1597,4
1619,1654,4
1916,1956,4
2140,2190,4
2120,2185,4
2119,2140,4
2134,2182,5
2177,2190,4
2210,2219,4
2210,2218,4
2215,2224,6
2267,2292,4
2207,2276,4
2249,2263,4
2420,2453,4
2441,2458,6
2463,2465,4
2621,2694,4
2941,2969,8
3134,3174,4
3154,3167,4
3258,3294,4
3307,3400,4
3123,688,7
223,3132,4
3186,605,4
248,601,5
231,682,4
3413,3461,5
3405,3438,4
1066,1569,4
1598,314,4
1271,1553,4
1561,369,4
1542,2699,4
3519,3533,4
3615,3689,5
3616,3636,4
3623,3644,4
3444,740,5
3490,716,4
3712,3717,4
3702,3742,4
3808,3871,5
3974,3999,5
4029,4078,4
4017,4042,7
2178,3182,4
4152,4198,4
2534,486,4
2655,3924,5
4254,4287,5
4205,4255,5
3476,602,4
1255,226,4
4314,4391,6
4309,4399,7
4328,4334,4
4380,4399,4
4346,4395,4
238,3181,4
1320,989,4
2263,3563,5
4419,4461,4
141,3639,4
2467,3624,4
4057,4377,4
4032,4384,4
1406,467,4
2780,3015,6
1251,4673,4
1703,968,4
3135,3321,4
4711,4719,6
1842,4628,4
1458,4628,4
1337,4013,5
1464,4080,7
4309,975,5
4810,4855,4
1263,2277,4
5256,5299,5
5207,5266,4
3275,4036,5
2072,3539,4
2429,3568,4
5310,5314,4
3547,977,5
3509,946,4
1330,3571,4
1330,3678,4
126,2935,4
4511,5307,4
1715,789,4
5464,5494,6
5459,5481,4
5419,5432,6
5409,5431,4
1819,5084,4
4031,773,4
5526,5545,4
5550,5565,4
5657,5667,4
5647,5694,4
5614,5632,5
5603,5608,4
4066,5466,5
1666,5426,5
4044,5438,5
1482,5476,4
2789,5448,5
4083,5448,6
4052,5416,5
1947,3666,5
2769,4109,4
1430,4208,4
4297,5076,4
3173,5100,5
3858,5076,4
5726,5760,5
5725,5792,5
5714,5748,4
5714,5749,4
5715,5783,4
4609,4919,4
2792,4927,4
1927,5850,6
2909,374,4
1537,2909,4
1537,670,4
3919,5143,4
5927,5978,6
5917,5927,5
291,5133,4
2137,4391,4
6073,6079,5
6155,6170,4
3609,455,5
1616,5727,4
3015,5978,4
5727,5912,4
2867,6067,4
2294,6047,6
4656,6004,5
3492,5450,4
1548,4967,4
6523,6583,6
6809,6833,5
6857,6882,5
6847,6870,5
6844,6896,5
6805,6812,4
6803,6823,4
6824,6832,8
4205,5367,4
147,4285,4
1538,3937,4
1046,1538,7
6911,6931,4
7003,7075,4
7117,7167,4
7118,7123,4
7460,7487,4
7487,7496,4
5741,5919,4
7613,7634,4
184,5706,6
3676,6111,4
348,921,4
2492,4209,4
3093,5787,5
7709,7740,4
4827,752,5
1817,6408,5
4373,6469,5
5993,6408,5
5798,6008,5
5720,6469,5
5720,959,5
7850,7889,4
7810,7837,4
7110,7543,5
1182,3590,6
2260,4223,4
53,652,4
8045,8078,4
8225,8289,4
2383,3307,4
5490,5766,6
2886,6803,4
3919,7740,4
4827,8368,8
4217,6720,4
1389,7849,4
8574,8581,4
247,7540,4
187,2446,4
7039,8208,4
6556,7167,4
6530,782,4
6580,7186,4
188,7193,4
1467,22,4
2401,6937,5
6071,6893,4
6893,950,4
324,6844,4
324,6833,4
324,6847,4
5494,6817,4
6016,6885,4
1817,4607,4
5706,6854,5
438,6069,4
6063,6858,4
4990,5761,4
5481,6855,6
2773,2993,4
4942,6008,4
5734,6853,4
5734,6064,4
4552,8441,4
1208,975,5
5912,7192,4
5116,6989,4
281,468,5
7820,8289,6
1382,6357,4
3278,3590,9
6790,7560,4
273,4416,4
5482,7685,7
3735,606,4
1028,7433,4
1050,1468,4
3590,625,6
3278,95,5
6720,7646,4
8110,8654,4
3963,8686,4
1173,5289,4
1173,165,4
3560,4815,4
3115,7650,4
4769,7676,5
9035,9091,5
3657,4036,4
4483,5742,4
3246,5265,4
1956,4483,4
2544,4177,4
3483,5738,5
1700,8593,4
4109,8786,4
4249,95,5
4802,8279,4
9212,9253,4
9227,9247,6
8093,8403,5
5911,6100,4
8073,8402,4
4200,6486,4
9336,9388,4
9326,9374,4
3317,3779,6
1428,6093,4
3405,5592,4
6752,8837,5
2123,6030,5
4611,8960,4
2723,467,4
9618,9636,4
9704,9786,5
8078,9340,7
8871,9294,4
9926,9999,5
4165,8742,5
782,9227,6
3237,4586,5
1030,3119,4
1511,6652,6
1635,8068,4
2886,7872,4
8190,8411,5
5989,7605,4
3278,8461,5
187,9618,4
4860,9628,4
9734,9912,4
5332,9987,4
1733,9987,4
3640,3829,5
5742,9997,4
2476,2864,4
5522,9700,6
7600,8658,5
10128,1135,4
10352,10384,5
8044,8588,4
10384,3418,4
10356,8411,4
10403,10422,5
10402,10409,4
10404,10434,4
10451,10454,4
10425,10431,6
10462,10467,4
10467,10472,4
1942,8635,4
5408,9664,4
335,3518,4
1831,9828,6
4454,9460,5
10313,7768,5
10503,10509,4
10368,3356,5
4441,9069,5
1917,4552,5
10665,10697,4
10612,9383,5
6584,8895,5
10554,9875,5
5396,6478,4
5325,8427,5
4543,9964,4
10128,8887,4
2937,3611,5
2345,4451,5
2345,4820,6
61,9700,5
3447,3875,4
10710,10799,5
10718,10778,4
10704,10705,4
10720,10795,4
10719,10779,4
10744,10798,6
10705,10778,4
10875,10890,4
10850,10873,5
3286,5716,4
1045,3071,4
11014,11017,5
10010,4802,4
64,6701,4
11128,11137,4
11106,11138,4
11101,11151,4
11101,11160,4
11108,11158,4
11103,11199,4
11160,11174,4
11164,11190,4
11158,11176,4
11132,11139,4
11198,11200,4
11143,11161,4
11151,11160,4
11136,11173,4
11275,9621,4
10756,2354,5
11404,11442,4
5283,6084,6
920,9466,4
10550,8501,5
9057,9758,4
4092,9057,4
4444,8024,7
2529,6912,4
5669,8165,6
10806,167,6
11275,5850,4
8444,9752,4
10985,932,4
6783,8444,4
5055,8475,5
1246,8195,4
3029,8101,4
8040,8511,7
2811,5356,5
6802,9687,4
11041,11360,5
4149,8856,4
11830,11839,4
11833,11880,5
10858,9599,5
11003,4565,4
1992,8235,4
1904,2002,4
7120,9280,5
5021,7682,5
1089,11716,4
11863,5071,4
10340,9653,6
7919,9380,4
1097,855,4
1097,3880,5
10819,9376,4
7162,8290,4
10880,3465,4
237,4010,4
2479,8912,4
10017,4584,4
1138,6522,6
210,6053,4
1041,241,6
7679,8194,4
2108,728,4
7076,8912,4
4269,7579,5
11007,8266,4
5943,7772,4
10085,857,4
10267,3021,5
3367,6180,4
167,6529,5
3880,8017,4
4945,8644,4
1534,4853,4
3545,3855,4
2054,9495,4
2054,9725,4
10328,11225,5
5692,6959,4
7507,9441,5
5459,942,7
10764,11803,4
10764,2000,4
11276,7844,4
11898,7844,4
10716,5093,4
1240,8353,4
11880,7682,6
10847,2949,5
7191,9331,4
11438,4275,4
1678,2068,5
3934,6458,4
11592,9225,4
7236,8078,4
4793,7571,5
12434,12439,4
1920,2803,4
10250,3943,4
10767,4124,4
11868,8003,4
11808,760,4
1386,2398,4
6548,7429,7
11378,350,5
10179,391,5
1030,9954,4
23,7068,5
8988,9114,4
8981,9114,5
12057,9712,4
11014,11767,4
10484,2776,4
10354,1096,5
1449,6953,4
11046,11727,4
2378,871,4
2221,6394,4
12535,12598,5
12052,7744,4
4737,6947,4
