passenger1,passenger2,Number of flights together
127,135,4
276,299,5
503,557,4
749,763,5
877,896,5
826,851,4
932,935,4
1038,328,4
1073,368,4
385,758,4
368,706,4
309,719,6
1973,1988,4
1970,1986,4
1919,2000,4
2206,2207,4
2567,2573,7
305,328,5
508,578,6
605,646,4
727,774,7
707,778,5
719,739,5
705,743,6
850,894,4
843,884,4
930,951,5
1023,1026,6
1056,362,5
1038,364,4
1209,1214,4
1214,1262,4
1336,1393,4
1005,1220,4
1423,1454,4
1001,797,4
1013,762,5
1023,706,4
1868,1878,4
1904,1956,4
1920,1960,4
1945,1960,4
2140,2187,4
2130,2189,4
2116,2162,4
2116,2144,4
2276,2291,4
2247,2273,5
2233,2248,5
2203,2271,4
2356,2381,4
2402,2489,4
2404,2447,4
2422,2433,4
2472,2486,4
2062,53,9
119,72,4
2914,2957,4
3162,3173,4
3315,3340,5
3360,3367,5
204,3171,4
299,3180,6
227,615,4
3186,613,4
215,3192,4
3490,3493,4
3431,3497,4
3414,3463,4
1544,2681,5
3551,3588,5
3490,763,4
3706,3770,4
3941,3956,4
4007,4083,4
4009,4016,8
1423,1836,4
1884,2728,4
4139,4142,4
2563,299,5
1643,2544,8
1223,3941,4
4252,4267,4
4208,4224,6
211,2570,5
4347,4354,5
4394,4398,4
1394,2969,4
4073,4319,5
2222,3547,5
2273,3577,4
4403,4418,4
2315,3654,4
126,2458,5
4009,4388,6
1688,223,4
4646,4696,4
4612,4648,4
4614,4665,6
2894,692,5
1314,2783,7
358,940,4
1696,915,6
446,4665,4
1971,4091,5
2026,2486,4
1371,4395,7
4059,928,5
4919,4988,5
5067,5075,5
5007,5081,5
5010,5092,4
2169,3235,4
3535,3661,4
5307,5332,4
2932,972,6
2498,2910,4
1347,755,4
1028,2935,5
86,998,5
1250,935,8
1218,556,5
5435,5486,4
5421,5439,6
5416,5498,6
5429,5483,4
5431,5498,4
1377,4092,4
5604,5691,5
5680,5700,4
5656,5699,4
4066,5432,5
2482,3472,4
3752,4319,4
3631,5674,5
4109,4344,4
1351,570,4
5768,5779,4
1643,3861,5
3837,4846,7
446,4969,4
4682,4957,4
419,5143,5
1547,696,4
226,752,5
5901,5917,5
5949,5953,4
5912,5972,4
5127,5885,4
3148,3250,4
2137,4314,4
6008,6064,5
6186,6188,5
142,2100,5
6339,6396,5
2697,3266,4
5800,5912,8
2747,4716,4
1158,4199,4
5494,6001,6
2717,4607,6
4674,6075,6
4316,4990,6
3576,6001,6
3576,6063,7
6410,6465,4
391,5460,4
2544,4609,4
1572,2596,5
6506,6548,4
6874,6885,6
6847,6866,5
6832,6853,6
6807,6810,4
2775,5053,4
5055,6092,4
4255,6004,5
1572,4205,4
6921,6975,4
6931,6974,5
7067,7075,4
7051,7068,4
7153,7170,4
7349,7373,4
5742,5942,5
2501,5952,4
384,7593,4
2601,6160,7
2601,3312,4
1208,5911,5
5954,6408,5
2734,5724,5
5744,5964,5
366,7369,4
2290,2642,4
8208,8238,4
4190,5549,4
4700,5989,5
1308,3794,5
1487,1514,4
1946,683,4
8557,8577,4
2569,394,7
2530,2870,4
4209,5905,4
2100,5962,4
1774,6580,4
2162,6572,4
3436,857,4
7151,7590,4
1684,2719,5
7585,7859,6
2227,5012,5
4611,8057,4
3967,6972,5
3102,6908,6
1581,4008,4
6071,6885,4
5769,6064,5
5769,6893,4
5494,5788,4
4674,6839,4
4316,4481,4
184,5481,4
5788,6017,5
1865,6858,4
4481,6047,4
4481,6814,4
4412,6854,4
1884,5771,4
1884,5769,4
1789,8402,5
5668,8461,8
2303,7776,4
1266,2910,5
4294,7778,4
1208,3590,9
1208,8269,4
1015,6357,4
4798,7832,4
3278,5789,6
8706,8785,5
1677,606,4
5411,901,6
1230,3735,5
606,95,4
4550,95,4
8928,8931,4
8914,8979,4
8917,8933,4
8950,8956,4
3849,853,4
7318,7601,4
3590,7605,9
1208,7662,7
8132,975,5
7618,7770,4
2926,3330,5
441,8209,5
7820,8190,6
1544,8604,4
3615,4742,4
3637,4765,5
9081,9082,4
9112,9118,5
6580,6938,4
7418,8146,5
286,3329,4
1143,4398,4
5423,6786,4
3330,5566,5
663,6796,5
5411,5566,4
4627,6447,6
4627,4983,6
1569,6294,5
5414,5549,4
5766,6447,5
2939,8461,4
281,9069,5
6043,8057,4
2660,536,5
9669,9675,5
9682,9700,4
9753,9793,5
5546,5716,4
212,8887,4
437,9066,4
4398,5027,4
4294,803,4
3801,5742,4
5905,6956,4
2150,7001,4
419,7242,6
3439,4270,4
300,9602,4
4852,9634,5
4270,9618,4
3844,9690,4
3844,9664,4
7162,9755,4
7879,8979,4
8983,9066,5
6338,9969,4
269,2851,7
6054,848,4
7661,8350,4
10046,846,4
10116,10173,4
2310,4978,4
5304,8268,4
7735,8981,4
4689,8424,6
10129,9540,4
10334,10396,7
2755,53,4
6208,8128,6
167,7153,5
3590,8363,4
5482,8269,4
5530,7076,6
10358,3760,4
10349,5989,4
10418,10445,5
10415,10438,4
10431,10440,4
10446,10465,5
10408,10464,4
10456,10492,4
10451,10453,4
10440,10482,5
10424,10452,5
6263,9822,4
1533,3233,5
10507,10544,4
10516,10568,4
1511,2910,5
7505,8363,5
2068,4283,4
2973,9441,4
10674,10680,4
10616,10661,6
745,7551,4
10396,9466,4
2773,8546,4
1352,8658,4
10110,9252,4
3618,8729,5
10704,10791,5
10705,10710,4
328,3860,4
10570,2505,4
10612,4955,4
11128,11153,4
11108,11138,4
11127,11191,4
11127,11140,4
11115,11143,4
11120,11128,4
783,9997,4
10731,191,4
10703,8262,4
873,9433,4
2910,7089,4
7373,9271,6
11101,7515,4
3112,8017,4
10267,3112,4
1863,2457,4
1863,4496,4
10850,4274,4
10806,9282,6
10890,9822,4
6013,8195,5
11642,11652,5
1904,9790,5
7801,8040,6
10446,2755,4
11359,7059,4
3518,9709,5
11807,11857,4
10615,11872,4
2392,2957,4
11180,8704,4
10017,4121,4
10016,888,4
10016,6548,8
10016,1138,6
400,6548,4
1041,5696,7
10023,4269,4
10023,1138,4
371,4318,4
2489,371,4
2503,4121,4
10037,1296,4
10037,4364,4
10497,8363,5
1030,11784,5
12002,12088,4
335,5162,5
7191,8653,5
2062,4713,5
5162,8368,4
5162,7271,6
11067,4713,4
1097,2065,4
10536,3416,4
10536,2544,4
4363,8006,6
10267,8679,5
2816,7862,4
5959,6900,5
10740,11472,4
11400,6208,4
10095,1747,7
11280,7881,5
11280,6471,5
12105,12123,4
11957,2185,5
10764,8406,4
1056,8406,4
10778,9951,4
10206,2765,4
3361,8030,4
2437,5277,4
5021,5277,4
582,7560,5
10310,9951,4
11607,5895,4
12233,12294,4
12175,9688,4
7187,9403,4
11280,2062,4
4713,6471,4
8368,9127,5
10089,8653,4
11147,3755,4
2323,6184,4
10382,5548,4
11028,4529,4
517,6974,4
12403,12438,4
11315,2869,5
3316,9427,4
7502,8679,4
10083,8835,4
11888,6372,4
1004,1681,4
1562,4784,4
4133,8030,4
11610,3660,4
1352,4335,4
11683,3041,4
5628,7542,4
1032,11883,5
391,6136,4
11284,1573,4
1403,3316,5
10953,5277,4
1775,4370,4
12371,9357,4
1561,5226,4
12558,12598,4
12516,12559,4
12537,12578,4
12581,6947,4
10294,10350,4
478,7653,4
4972,5240,7
10741,1327,4
3823,4415,4
6865,9600,4
7832,9252,4
12746,12797,4
12792,12800,4
12074,12355,5
10406,11552,4
10406,9922,4
12883,1988,4
11322,12486,4
10016,12452,4
1133,524,4
11514,3466,4
13138,13166,4
12815,3901,4
4362,7205,4
5643,8579,5
13417,7660,4
13640,13663,5
13657,13668,9
6666,7073,4
12298,6146,4
11282,6365,5
9077,9661,4
11508,9576,5
13163,7393,5
4517,7528,4
11559,13627,5
11553,2985,4
10857,8106,4
10960,7612,4
13112,2462,4
11728,12934,4
13265,2204,4
13819,13830,6
1947,270,4
4090,8211,7
7825,9777,4
10812,4070,5
4070,9152,5
5769,9749,4
13462,9599,4
10631,10908,5
2158,361,4
6809,7395,4
14076,14082,4
14011,14091,5
10585,12587,5
1779,9665,4
1200,6382,4
7959,8664,4
11099,3206,4
11099,7917,4
1151,3194,4
4129,4459,5
11513,2702,4
13571,7721,6
13284,8057,5
8102,9031,4
10229,8821,5
4516,9252,4
