passenger1,passenger2,Number of flights together
106,121,4
418,497,4
627,670,4
606,680,4
850,862,4
1058,1085,7
1011,1098,4
1027,1028,4
1001,1045,5
1007,1044,7
1025,392,4
1026,334,4
382,721,5
364,706,4
334,739,6
2135,2173,4
2110,2130,4
2318,2392,4
2457,2476,4
2463,2480,4
119,2082,4
2573,2600,8
2862,2897,4
2910,2924,5
2977,2985,4
354,378,5
524,565,5
624,646,4
707,772,5
707,773,5
766,771,6
753,757,4
701,793,5
701,797,7
848,899,4
925,932,4
1003,1011,4
1016,1096,4
1050,366,4
1207,1226,4
1218,1276,4
1415,1456,4
1095,755,6
355,733,4
1063,1212,4
1276,311,5
1635,1674,4
1603,1617,4
1050,757,4
1992,1999,6
2114,2154,4
2106,2152,5
2134,2188,4
2138,2174,5
2429,2452,4
2446,2475,4
2501,2556,9
2604,2624,4
2932,2977,6
2935,2965,7
3076,3096,4
3117,3193,4
3157,3178,4
3253,3286,4
3208,3285,4
3360,3399,5
243,607,4
256,3137,4
1576,2697,4
3598,3600,4
3515,3516,4
3629,3677,4
3491,760,4
3490,772,4
3402,724,4
1095,3477,4
3805,3806,4
3957,3999,6
4037,4080,4
4011,4016,7
4002,4042,4
4063,4078,4
4008,4031,4
4009,4053,7
295,3182,4
289,3114,4
244,3188,4
2186,3195,4
1498,2728,8
2586,3104,4
204,407,5
1066,3931,4
184,64,4
4202,4210,4
4270,4284,4
4217,4239,4
2153,3444,4
2964,917,4
1303,937,4
4362,4399,5
4338,4397,4
4361,4396,4
4320,4396,4
4339,4395,9
1396,939,4
2997,911,4
2600,3941,4
4405,4407,4
126,3639,5
172,2464,4
4548,4559,5
4090,4346,5
3883,4511,4
4626,4688,5
4607,4646,4
4609,4617,4
4620,4680,4
4667,4685,4
1666,2783,7
1482,2867,7
1813,2911,4
692,967,5
4754,4781,4
2969,4399,8
2969,4309,5
2717,4309,5
2783,4009,5
4832,4897,4
4939,4950,4
4991,4993,5
2554,3548,4
5227,5299,4
2326,3588,4
3563,3620,4
1347,3540,4
130,920,4
2886,935,5
1817,997,6
5408,5448,4
5426,5484,4
5426,5471,6
5440,5459,4
5432,5459,5
5404,5456,4
1437,3815,4
1476,5082,4
1801,5042,5
3206,773,4
2759,5468,5
4395,5486,5
4083,5466,5
132,2488,4
2403,3670,6
2431,3454,4
662,920,8
2712,4022,4
1145,4398,4
4208,5096,6
4219,5370,4
5701,5797,4
5865,5885,6
554,942,4
2239,2988,4
2516,3924,4
2280,4969,4
3977,4969,4
1651,4914,6
290,3912,4
2068,399,4
5924,5995,5
5924,5998,4
6039,6049,7
1209,2440,5
6208,6259,4
2964,356,6
6363,6396,4
2780,5927,4
1608,5797,4
202,4761,4
5498,6093,4
2867,6084,5
4674,5440,6
1692,3937,4
3404,443,4
443,4903,5
4523,5450,4
4656,5434,4
1444,3937,4
2596,5420,4
6529,6561,4
398,6447,5
6725,6777,4
6725,6740,4
6870,6884,5
6824,6869,5
1108,2710,4
3184,4212,4
4292,4945,4
1476,5455,4
1662,4300,4
7025,7080,4
7172,7186,4
7324,7353,4
7558,7573,4
2786,5905,4
5561,6735,4
7605,7645,5
1817,5966,6
5746,5923,4
4815,5606,4
477,5993,6
7727,7780,8
7714,7780,6
324,5954,5
438,5761,5
4827,7369,6
3123,6700,4
7180,782,5
1329,3163,4
2288,4223,4
2556,3676,4
2620,5912,7
8105,8198,4
5711,6087,4
7349,8399,4
3806,683,4
1536,43,5
1420,5035,4
3367,6447,7
1955,8256,4
3253,3356,4
3293,6580,4
6580,876,4
1774,6531,4
3164,7198,4
3486,3962,4
2401,5015,6
4182,4387,4
3421,6080,4
6052,6447,8
3695,6972,4
4125,6983,6
2143,7476,4
5769,6049,4
5769,6854,4
1619,6017,4
5724,6809,4
5977,6077,4
5977,6880,4
6075,6408,4
5761,6814,4
6096,950,4
6096,997,4
6077,6893,7
3544,6889,5
3120,6897,5
184,6872,4
6469,6836,5
5720,6071,4
5481,5724,4
6839,997,4
5491,6880,4
1884,6824,5
5731,6003,5
3405,869,5
7832,975,5
4798,7868,4
4669,772,4
3330,7606,4
7606,8132,4
7602,8158,6
2326,7605,4
8960,8969,7
1155,662,4
3173,3436,6
1437,5403,6
7716,8969,4
7831,8963,4
2392,249,4
2857,7039,5
814,8656,5
479,6113,9
1169,3471,4
3077,8471,5
3077,8690,4
1160,3609,4
594,92,5
1730,511,4
6396,8257,4
9057,9076,4
9007,9069,4
9014,9031,4
1801,7747,4
7890,8976,5
2869,795,5
1050,6940,6
4139,8146,4
1317,292,4
2569,4764,4
272,8548,4
6524,8703,5
3551,8295,4
3503,5584,6
6786,7866,5
5411,6703,4
451,6020,4
2527,5549,4
5819,8093,5
5596,8007,4
3175,8948,5
4877,8920,4
4484,7713,4
7508,8017,4
1223,8245,4
1158,3409,4
2018,467,4
9611,9686,5
9656,9686,4
3883,6003,4
8556,9238,5
1045,2723,5
9854,9864,5
9802,9885,4
8826,9240,4
10082,10086,5
10008,10050,4
2797,9592,4
3755,4502,6
1340,2678,6
2030,5332,4
3093,8411,4
300,9665,4
187,300,4
4933,9640,4
6776,9601,4
5096,9679,4
5096,9649,4
4827,9725,6
3846,3955,6
6857,7560,4
1818,7898,5
10203,10234,9
3508,8225,4
1818,3618,4
3249,8197,5
10353,10384,5
10315,10389,5
6322,8572,5
4593,5511,4
5342,9439,4
9092,9924,4
5303,6694,4
2625,7605,6
5571,9934,5
10353,4850,4
10418,10458,4
10407,10456,4
10415,10416,4
10417,10458,4
10414,10454,4
10458,10482,4
10456,10458,4
10451,10476,4
10422,10465,4
10465,10488,4
10461,10476,5
10461,10481,5
1521,7180,5
2563,5683,4
10334,2926,5
10397,7799,4
10352,1389,4
10525,10573,4
2973,7505,5
10621,10689,4
10659,10665,4
1505,258,5
1352,6878,4
3837,7373,7
4941,8807,4
2937,8803,4
2345,7898,5
497,6729,5
1822,2345,5
10731,10751,4
10727,10742,4
10728,10753,4
11074,9097,5
11169,11176,4
11132,11157,4
11122,11157,4
11122,11160,4
11120,11143,4
11156,11188,4
4253,7433,4
1831,783,4
5957,6777,4
3616,932,4
11276,2581,5
4467,9997,4
11272,9997,5
10788,8260,4
10727,5522,4
10703,8729,4
10703,4774,4
10799,6729,4
11324,11393,4
7747,8257,5
2976,5021,5
10267,10644,6
10509,10690,4
11577,11588,5
10809,9252,4
5850,8445,5
11662,11687,4
11633,11662,4
11726,11742,4
11716,11744,4
2975,6350,4
10334,11327,4
478,6976,5
6456,9465,4
4978,6050,5
10364,11028,4
10310,3322,6
3343,8295,4
10597,7581,4
11919,11987,4
3880,9380,4
5132,736,4
10083,371,4
1138,2489,4
241,4728,4
7679,863,4
3432,4337,5
1378,8424,6
4188,7679,4
4010,5016,4
2117,7076,6
4056,9539,4
421,4814,4
5380,9383,4
2458,5162,4
2062,335,4
8572,8907,4
8017,8596,5
10497,3243,5
10497,6180,5
11472,9790,4
11267,9114,5
1079,4171,4
1747,5748,6
10015,9725,5
3597,6086,4
11965,5227,5
11965,9752,4
5227,9828,4
3519,6084,4
10112,4444,5
7837,8030,4
1966,6464,4
8030,9951,4
10837,5037,4
11727,12173,4
3660,7187,5
5287,9557,5
5690,7641,4
1673,2062,4
4917,5653,4
2062,9331,4
1747,7950,5
2323,5356,4
10382,4109,4
3330,9503,4
5671,8514,5
4845,8375,4
1920,6428,4
10250,1057,4
3943,9232,4
6246,6591,5
4876,9433,4
12305,6865,4
10478,1115,4
5175,7124,4
4212,469,4
12430,524,6
1829,5096,4
10179,6050,4
1573,9992,4
4903,9862,5
2869,7319,5
363,3902,4
1972,3247,5
1972,3396,4
12083,544,4
11074,5798,4
11074,12002,4
1573,4444,4
2964,6924,4
6909,9395,4
11225,9252,5
10767,12574,4
11807,5955,6
11807,1470,5
7635,8698,4
7036,8339,4
1954,7036,4
4482,682,5
1229,12563,6
12362,163,4
9046,9480,7
1982,6121,4
10181,7552,5
6515,7850,5
4130,8320,4
12338,7346,5
6306,9527,5
12497,8212,5
12413,4200,4
5963,8642,5
4293,461,4
3149,3220,4
13418,13482,4
11896,6380,4
1714,3297,5
13472,5643,5
3889,8529,7
1788,5345,4
1196,383,4
13129,1779,4
13620,13683,4
13620,13643,4
1568,4400,4
12374,8660,5
13217,13557,5
13105,3524,4
10306,2333,4
119,3512,4
12587,582,5
13638,2065,6
13714,13791,4
11742,13105,4
2125,5275,5
10640,8058,4
13822,13848,7
13819,13822,5
13853,13874,4
1947,4601,4
12977,6906,4
2734,6342,4
4459,5681,4
10653,2844,7
12570,4070,4
10762,4070,5
1850,3154,4
6532,7902,4
10004,4810,4
6616,9599,4
12189,13627,4
11683,8621,4
311,435,4
5922,9033,4
